	PA3423	PA0084	PA2455	PA3029	PA1588	PA2220	PA4656	PA3585	PA1325	PA3067	PA1018	PA3558	PA2145	PA4624	PA5159	PA1429	PA5032	PA4551	PA1532	PA2918	PA0748	PA4370	PA3387	PA4813	PA4142	PA1365	PA1214	PA1687	PA0638	PA1558	PA2809	PA2648	PA0193	PA3770	PA2792	PA0221	PA4197	PA3414	PA0029	PA0055	PA5460	PA1342	PA4772	PA1466	PA2356	PA0816	PA5367	PA3406	PA0868	PA4755	PA1489	PA3083	PA1909	PA4309	PA4903	PA2713	PA0330	PA1907	PA0982	PA4103	PA1774	PA4567	PA5508	PA1524	PA2118	PA4842	PA3564	PA4264	PA1064	PA0341	PA1345	PA2478	PA0077	PA1232	PA1878	PA2875	PA4436	PA2812	PA1286	PA3173	PA2662	PA0106	PA0405	PA0499	PA3658	PA0644	PA3190	PA1471	PA0096	PA3023	PA1766	PA4217	PA0996	PA3950	PA5115	PA0505	PA0114	PA5150	PA4042	PA2678	PA5112	PA3528	PA4610	PA1692	PA3056	PA5552	PA0999	PA4667	PA1252	PA0672	PA4146	PA1382	PA2816	PA1939	PA1706	PA1370	PA1363	PA2418	PA1255	PA4504	PA0760	PA4358	PA0028	PA1225	PA0027	PA5509	PA4155	PA1552	PA5091	PA0803	PA2217	PA4237	PA3404	PA0556	PA3861	PA3494	PA1527	PA2043	PA1547	PA0233	PA3128	PA2772	PA1475	PA3309	PA1491	PA1493	PA4792	PA4347	PA2090	PA3466	PA4305	PA3501	PA2727	PA1006	PA0569	PA5393	PA3858	PA1637	PA5263	PA5207	PA4789	PA1694	PA1130	PA4453	PA1960	PA2770	PA4760	PA2451	PA1049	PA4513	PA4281	PA0497	PA2182	PA3579	PA0372	PA3053	PA4334	PA4494	PA4814	PA0901	PA5274	PA0571	PA1306	PA3115	PA5319	PA0299	PA2307	PA3722	PA3094	PA3367	PA2577	PA3764	PA5116	PA2218	PA2614	PA4125	PA4024	PA0425	PA2225	PA3735
GSM261937.CEL	0.4493139	0.4529016	0.4523755	0.44966614	0.4523329	0.44930935	0.449596	0.4496066	0.44741714	0.45299938	0.45350435	0.44877318	0.45119518	0.45007676	0.44723845	0.45225275	0.4549687	0.45427915	0.45399523	0.45428008	0.45132324	0.4521133	0.4534307	0.4502447	0.45065105	0.45206293	0.45181018	0.44817227	0.44870287	0.4509951	0.44546288	0.44856247	0.4556219	0.44897667	0.44936264	0.4549906	0.45245218	0.4439709	0.45231536	0.45270348	0.453021	0.45499474	0.44897953	0.44850284	0.44772166	0.4531326	0.45543328	0.44804946	0.45382646	0.45901665	0.45595548	0.4497534	0.4518739	0.44824374	0.45194358	0.45358273	0.44659656	0.4526132	0.44975755	0.4474568	0.4523986	0.45238912	0.4558881	0.4506073	0.44635475	0.4513438	0.44843635	0.4496084	0.45095596	0.44853705	0.44518715	0.454143	0.4533402	0.44753104	0.44878775	0.4500358	0.44747138	0.44955355	0.45111617	0.45119303	0.4489421	0.45285147	0.45167455	0.45725957	0.45084938	0.45477673	0.4510148	0.4465881	0.44853982	0.4493973	0.45269975	0.44528204	0.45253295	0.4494139	0.44797748	0.44958135	0.4483654	0.4557756	0.45395803	0.4507079	0.5761385	0.78173536	0.42834616	0.34853712	0.5003879	0.7856325	0.6032067	0.78619576	0.3894716	0.35462412	0.37270117	0.58261657	0.3988691	0.51269144	0.3219246	0.33526444	0.38865715	0.36094832	0.20379046	0.39581856	0.55433446	0.4700781	0.42522648	0.37872076	0.3993007	0.4032262	0.26167592	0.65846515	0.38545892	0.4575227	0.34589937	0.73424155	0.3128744	0.5300437	0.70711285	0.59168726	0.7471158	0.33420625	0.38467035	0.38192308	0.41574824	0.5005075	0.56458473	0.6397062	0.30432934	0.64393574	0.47926226	0.4987117	0.22958791	0.7286724	0.36370623	0.41510132	0.7052625	0.58913296	0.47460327	0.3844655	0.58210784	0.372127	0.734859	0.3047292	0.7421992	0.3817133	0.36260453	0.7580419	0.38300794	0.64577496	0.656148	0.36611083	0.7200957	0.30986652	0.6174752	0.25889316	0.31448603	0.6551495	0.68717706	0.6098577	0.33559617	0.51055443	0.38290247	0.5129106	0.7270666	0.7003345	0.62314606	0.76252073	0.5452632	0.7285594	0.2726943	0.60917556	0.5642229	0.33573437	0.5503766	0.6860911	0.3512305	0.36977863	0.7466021	0.23259468	0.377293	0.73272914	0.29325977	0.6897782
GSM1553187_Persisters_C1.CEL	0.45023513	0.45383745	0.45331722	0.4505845	0.4532598	0.45022854	0.45051795	0.45053333	0.44834805	0.45392781	0.45444036	0.44968656	0.45211273	0.45103166	0.44816178	0.4531656	0.45591113	0.4551916	0.45491782	0.45521948	0.4522602	0.4530277	0.4543486	0.45117304	0.45156586	0.45301417	0.45274687	0.44909036	0.44960222	0.45194134	0.446381	0.44947824	0.4565496	0.44990155	0.4502798	0.45589992	0.45335975	0.44489008	0.4532177	0.45361835	0.45396242	0.45592391	0.44992343	0.44944674	0.44862613	0.4540595	0.45635486	0.44896454	0.4547484	0.45996156	0.45687327	0.45065784	0.45281705	0.44916728	0.4528679	0.4545052	0.44751543	0.4535333	0.45068213	0.44839108	0.45332536	0.45331752	0.4568246	0.45154214	0.4472659	0.45226258	0.44935945	0.45053583	0.45186284	0.4494625	0.44611484	0.455071	0.45429176	0.44844213	0.44970587	0.45095348	0.44838688	0.45050293	0.4520417	0.45212686	0.44986537	0.45377594	0.45259726	0.45818996	0.45177373	0.45568654	0.4519187	0.44750246	0.44943985	0.45030782	0.45364475	0.4462006	0.45344257	0.45033494	0.44888416	0.45050392	0.4492877	0.45674372	0.45488125	0.45163447	0.57635003	0.7819796	0.4284709	0.34864923	0.5005304	0.78586894	0.6033395	0.78644407	0.3896324	0.35471848	0.37285537	0.58278906	0.39899135	0.5128538	0.3220081	0.33537176	0.38875306	0.36103037	0.20384662	0.39594504	0.5545115	0.4702297	0.4253764	0.3788032	0.3994379	0.4033479	0.26174355	0.65863025	0.38559842	0.4576785	0.3459747	0.73445415	0.31296527	0.5302161	0.7073195	0.5918507	0.74737304	0.33429375	0.3847631	0.3820207	0.4158688	0.5007073	0.5647711	0.6398942	0.30437106	0.6441478	0.47943494	0.4988441	0.2296573	0.7289311	0.36382118	0.4152317	0.7055106	0.58931845	0.47478157	0.3845642	0.58232635	0.37221947	0.7350951	0.304774	0.7424297	0.38182965	0.36271596	0.7582996	0.38309276	0.6460173	0.6563413	0.36623487	0.7203088	0.30993864	0.6176522	0.25897306	0.314586	0.655316	0.6873954	0.6100428	0.335704	0.51067287	0.3830011	0.51311827	0.72731143	0.70058954	0.6233426	0.7627432	0.54545736	0.7288207	0.27276143	0.6093392	0.56441975	0.335789	0.55054134	0.68630916	0.3513429	0.36989412	0.7468354	0.23267083	0.37744188	0.73298323	0.29333854	0.68999314
GSM711451.CEL	0.45482394	0.45849925	0.45800814	0.45515943	0.45787686	0.4548077	0.45511103	0.45515004	0.45298588	0.45855275	0.45910287	0.45423666	0.4566834	0.45578876	0.45276198	0.45771256	0.46060595	0.45973662	0.4595132	0.45989874	0.45692742	0.45758253	0.4589205	0.45579773	0.45612288	0.45775262	0.45741302	0.45366403	0.45408243	0.45665509	0.45095494	0.45404044	0.46117058	0.45450905	0.4548487	0.46042913	0.45788047	0.44946954	0.45771247	0.45817557	0.45865193	0.4605521	0.45462596	0.45414916	0.45313194	0.45867705	0.46094534	0.4535231	0.45934087	0.46466765	0.4614445	0.4551633	0.45751545	0.4537683	0.45747253	0.45910004	0.45209312	0.4581168	0.45528817	0.45304546	0.45794183	0.45794246	0.46148953	0.4561993	0.45180562	0.45683926	0.45395857	0.45515615	0.45638043	0.4540729	0.45073676	0.45969367	0.45903197	0.45298108	0.45427975	0.45552516	0.45294777	0.4552327	0.45665222	0.45677844	0.45446482	0.45838115	0.45719367	0.46282434	0.45637864	0.46021876	0.45642155	0.45205772	0.45392326	0.4548436	0.4583521	0.45077688	0.4579737	0.45492354	0.4534012	0.45509976	0.45388263	0.46156633	0.45947996	0.4562502	0.57740223	0.7831919	0.42909175	0.34920758	0.50123966	0.7870428	0.6040001	0.7876767	0.39043316	0.35518795	0.37362328	0.5836467	0.3996001	0.5136616	0.32242385	0.33590618	0.38923028	0.36143884	0.20412591	0.39657468	0.5553924	0.4709837	0.42612258	0.3792135	0.40012097	0.40395394	0.26207998	0.65945137	0.38629296	0.4584542	0.34634948	0.73551077	0.31341785	0.53107387	0.7083468	0.592664	0.748651	0.33472925	0.38522485	0.38250682	0.41646868	0.5017017	0.56569815	0.6408292	0.30457884	0.6452024	0.48029408	0.49950287	0.23000298	0.73021644	0.364393	0.41588077	0.7067441	0.5902411	0.4756691	0.38505515	0.58341354	0.37267977	0.7362683	0.3049972	0.7435746	0.38240877	0.36327064	0.7595785	0.3835148	0.6472224	0.65730286	0.36685237	0.72136724	0.31029752	0.6185323	0.25937092	0.31508395	0.65614414	0.68848103	0.61096334	0.336241	0.51126236	0.38349187	0.5141516	0.72852814	0.70185655	0.6243198	0.7638479	0.5464235	0.7301189	0.27309537	0.61015326	0.5653991	0.33606067	0.5513609	0.68739295	0.35190266	0.3704691	0.7479943	0.23305029	0.37818336	0.73424536	0.2937308	0.6910613
GSM774148_B38-1_1.CEL	0.45737416	0.46108976	0.460615	0.45770186	0.46044257	0.45735258	0.4576635	0.45771566	0.45556352	0.46112272	0.46169376	0.4567654	0.45922333	0.45843256	0.4553186	0.46023932	0.46321467	0.46226206	0.46206677	0.46249884	0.45952117	0.46011364	0.46146107	0.45836782	0.45865533	0.46038598	0.46000606	0.45620587	0.45657223	0.45927474	0.4534972	0.45657587	0.46373817	0.45706972	0.45738778	0.4629458	0.46039262	0.45201498	0.4602101	0.460708	0.4612579	0.46312383	0.45723945	0.45676267	0.45563617	0.461243	0.4634961	0.45605657	0.46189275	0.46728235	0.46398446	0.45766705	0.46012637	0.45632535	0.46003133	0.4616533	0.45463732	0.46066377	0.45784792	0.4556324	0.46050718	0.46051255	0.46408156	0.45878744	0.45432866	0.45938262	0.45651454	0.45772386	0.4588909	0.4566352	0.45330575	0.46226233	0.4616661	0.45550364	0.45682165	0.45806578	0.45548257	0.45786124	0.45921445	0.45936352	0.45702103	0.46094018	0.4597479	0.4653993	0.45893767	0.46273702	0.4589238	0.45458943	0.45641488	0.4573643	0.46096796	0.45332044	0.4604916	0.45747355	0.45591158	0.45765382	0.45643634	0.46424612	0.4620354	0.45881528	0.57798594	0.7838627	0.42943645	0.34951758	0.5016333	0.7876923	0.6043665	0.78835857	0.39087784	0.3554486	0.37404978	0.5841226	0.39993802	0.5141099	0.32265475	0.336203	0.38949528	0.3616656	0.20428112	0.39692432	0.55588114	0.47140226	0.42653698	0.37944135	0.40050024	0.4042905	0.26226678	0.65990674	0.38667864	0.45888487	0.3465576	0.736096	0.31366915	0.5315498	0.7089159	0.59311515	0.74935853	0.33497107	0.3854812	0.3827767	0.41680172	0.5022536	0.5662125	0.64134765	0.30469418	0.645787	0.480771	0.49986842	0.23019491	0.7309281	0.36471054	0.41624108	0.7074273	0.59075284	0.47616175	0.3853278	0.5840166	0.3729353	0.7369179	0.30512118	0.7442087	0.38273033	0.36357868	0.7602864	0.3837491	0.6478905	0.657836	0.36719528	0.72195363	0.3104968	0.61902046	0.25959194	0.31536046	0.6566034	0.6890828	0.6114739	0.33653924	0.5115896	0.38376445	0.514725	0.729202	0.7025583	0.6248618	0.7644595	0.5469595	0.7308377	0.27328083	0.6106048	0.56594247	0.3362116	0.5518157	0.6879936	0.35221347	0.3707883	0.74863607	0.233261	0.37859514	0.7349441	0.29394868	0.6916534
GSM897995_MHH0094_Pae_G1a.CEL	0.45796806	0.4616931	0.4612221	0.4582939	0.4610401	0.45794526	0.458258	0.45831323	0.45616382	0.46172124	0.46229708	0.45735437	0.45981488	0.4590483	0.4559141	0.46082777	0.46382216	0.46285018	0.46266145	0.4631044	0.46012527	0.46070307	0.46205273	0.4589664	0.45924512	0.4609992	0.46060994	0.45679784	0.45715213	0.45988482	0.4540893	0.4571663	0.46433613	0.45766607	0.45797914	0.46353185	0.46097767	0.4526078	0.4607918	0.46129778	0.46186477	0.46372268	0.4578481	0.45737132	0.45621938	0.4618405	0.46409008	0.4566466	0.462487	0.46789122	0.46457598	0.4582502	0.46073446	0.4569209	0.46062723	0.46224788	0.45522985	0.4612569	0.4584441	0.4562349	0.46110466	0.46111107	0.46468517	0.4593902	0.45491633	0.45997488	0.45710984	0.45832184	0.45947552	0.45723197	0.4539041	0.4628605	0.46227956	0.45609114	0.45741367	0.45865744	0.45607296	0.45847344	0.4598111	0.4599655	0.45761627	0.46153617	0.46034276	0.46599898	0.45953366	0.46332344	0.45950654	0.45517907	0.4569952	0.45795134	0.4615772	0.4539128	0.46107796	0.45806748	0.45649624	0.4582487	0.45703107	0.46487015	0.46263045	0.45941266	0.5781218	0.78401864	0.42951673	0.3495898	0.5017249	0.7878433	0.6044518	0.78851706	0.39098138	0.3555093	0.37414902	0.58423334	0.4000167	0.5142143	0.32270852	0.33627212	0.38955697	0.36171842	0.20431726	0.3970057	0.55599487	0.4714997	0.4266334	0.37949434	0.40058848	0.40436885	0.26231033	0.66001266	0.38676843	0.4589851	0.3466061	0.7362321	0.3137277	0.5316606	0.7090483	0.5932202	0.74952304	0.3350274	0.3855409	0.38283953	0.41687924	0.50238204	0.5663322	0.6414683	0.30472103	0.6459231	0.48088196	0.49995357	0.23023973	0.7310936	0.3647845	0.41632494	0.70758617	0.590872	0.47627643	0.38539127	0.58415693	0.37299484	0.7370691	0.30515	0.74435616	0.3828052	0.36365035	0.76045096	0.38380367	0.6480459	0.65796006	0.36727512	0.72209	0.31054324	0.619134	0.25964344	0.31542492	0.65671027	0.68922275	0.61159277	0.33660865	0.5116657	0.3838279	0.5148585	0.7293587	0.70272166	0.62498784	0.7646017	0.5470843	0.73100483	0.27332398	0.6107099	0.5660689	0.33624667	0.55192155	0.6881333	0.3522859	0.37086266	0.74878526	0.2333102	0.37869102	0.7351066	0.2939994	0.691791
Pae_Fe03_17.CEL	0.45871612	0.46245295	0.46198678	0.45903975	0.46179268	0.45869175	0.45900673	0.45906588	0.45692	0.4624751	0.46305704	0.4580962	0.46055996	0.4598239	0.45666414	0.46156898	0.46458736	0.46359095	0.46341047	0.4638671	0.4608861	0.46144557	0.46279788	0.45972034	0.45998794	0.46177167	0.46137056	0.45754355	0.45788246	0.46065325	0.45483512	0.45791015	0.46508923	0.45841727	0.45872396	0.46427006	0.46171454	0.45335457	0.46152443	0.4620406	0.4626292	0.46447706	0.45861483	0.45813802	0.456954	0.46259323	0.4648382	0.45738983	0.46323553	0.46865812	0.465321	0.45898464	0.4615004	0.45767105	0.46137786	0.46299684	0.4559763	0.46200407	0.459195	0.4569938	0.46185714	0.46186498	0.46544552	0.46014938	0.4556565	0.46072096	0.45785967	0.45907512	0.46021193	0.45798358	0.45465773	0.46361396	0.46305224	0.45683116	0.4581594	0.45940277	0.45681655	0.4592446	0.4605627	0.46072385	0.4583662	0.46228683	0.46109205	0.46675423	0.46028435	0.46406212	0.4602405	0.4559218	0.45772606	0.4586908	0.46234447	0.45465901	0.46181658	0.4588155	0.45723265	0.45899796	0.4577802	0.4656562	0.46338004	0.46016508	0.5782928	0.7842149	0.42961776	0.34968072	0.5018403	0.78803337	0.6045592	0.7887165	0.3911118	0.3555857	0.37427413	0.58437276	0.40011585	0.51434565	0.32277617	0.3363591	0.38963464	0.3617849	0.20436266	0.39710823	0.5561381	0.4716224	0.4267549	0.37956116	0.40069973	0.40446746	0.2623651	0.6601461	0.38688153	0.4591113	0.34666705	0.7364035	0.31380138	0.5318001	0.70921504	0.5933524	0.74973	0.3350983	0.38561606	0.38291866	0.4169769	0.5025438	0.56648296	0.64162016	0.30475485	0.6460943	0.48102176	0.50006074	0.23029597	0.73130184	0.3648776	0.4164306	0.70778626	0.5910219	0.47642082	0.38547117	0.5843336	0.37306976	0.73725927	0.3051863	0.74454165	0.38289946	0.36374074	0.76065814	0.3838723	0.6482415	0.65811616	0.36737567	0.7222616	0.31060168	0.619277	0.2597083	0.31550604	0.6568448	0.6893989	0.6117424	0.3366961	0.5117616	0.3839078	0.51502657	0.7295559	0.7029271	0.6251467	0.7647807	0.5472414	0.73121524	0.2733783	0.6108422	0.56622815	0.3362909	0.55205476	0.6883092	0.352377	0.37095624	0.748973	0.23337196	0.37881178	0.7353112	0.29406327	0.6919644
GSM774157_B38-6M_1.CEL	0.4606092	0.46437576	0.4639216	0.46092695	0.46369705	0.46058077	0.46090144	0.4609703	0.45883346	0.46438253	0.46498004	0.45997316	0.4624452	0.46178633	0.45856196	0.46344432	0.46652353	0.46546528	0.46530563	0.46579683	0.46281126	0.46332416	0.46468347	0.461628	0.46186763	0.46372616	0.4632952	0.45943034	0.45973057	0.4625977	0.45672232	0.45979214	0.4669948	0.46031797	0.46060872	0.46613777	0.4635791	0.45524427	0.46337822	0.46392015	0.46456337	0.46638563	0.4605548	0.46007803	0.45881277	0.46449763	0.4667312	0.45927045	0.46512952	0.47059843	0.46720594	0.4608431	0.46343833	0.4595692	0.46327707	0.4648918	0.45786497	0.46389446	0.46109504	0.45891407	0.46376124	0.46377254	0.46736917	0.4620705	0.45752943	0.46260872	0.45975697	0.460981	0.4620753	0.45988563	0.45656487	0.46552035	0.46500725	0.4587037	0.46004623	0.46128854	0.45869818	0.46119583	0.46246448	0.46264255	0.4602636	0.46418616	0.46298787	0.46866518	0.46218377	0.46593106	0.46209773	0.4578012	0.45957562	0.46056184	0.4642861	0.4565473	0.46368527	0.46070835	0.45909607	0.46089378	0.4596758	0.46764508	0.46527657	0.46206906	0.5787253	0.78471065	0.4298734	0.34991077	0.5021321	0.78851336	0.60483074	0.78922033	0.3914416	0.35577905	0.37459046	0.5847254	0.40036646	0.514678	0.32294744	0.33657926	0.3898312	0.36195305	0.20447779	0.3973675	0.5565003	0.47193274	0.42706212	0.37973014	0.400981	0.40471703	0.26250377	0.6604834	0.3871676	0.45943063	0.3468215	0.7368365	0.31398788	0.5321529	0.7096363	0.5936867	0.75025314	0.33527765	0.3858062	0.38311878	0.41722387	0.50295293	0.56686413	0.6420042	0.30484042	0.64652735	0.48137537	0.5003318	0.23043844	0.7318283	0.3651132	0.41669786	0.7082919	0.5914011	0.4767861	0.3856734	0.58478045	0.37325934	0.73773974	0.30527818	0.7450106	0.38313797	0.3639692	0.7611814	0.38404608	0.64873624	0.658511	0.36763	0.72269565	0.31074953	0.6196387	0.2598722	0.31571117	0.6571849	0.68984437	0.6121207	0.33691734	0.51200414	0.38410988	0.51545167	0.7300544	0.7034465	0.6255481	0.765233	0.5476387	0.7317468	0.27351588	0.6111768	0.5666308	0.33640277	0.5523918	0.6887539	0.3526076	0.37119308	0.7494476	0.23352839	0.3791172	0.73582804	0.29422483	0.69240266
GSM663162_Pae-Mix-1_5-22-07_S2.CEL	0.46107158	0.46484542	0.46439427	0.46138802	0.46416223	0.46104223	0.46136427	0.4614356	0.45930094	0.46484852	0.46544978	0.46043175	0.46290576	0.4622657	0.45902562	0.4639024	0.46699646	0.46592316	0.4657686	0.46626827	0.46328157	0.4637831	0.46514407	0.46209407	0.4623268	0.4642037	0.46376535	0.45989132	0.46018204	0.4630727	0.45718342	0.4602519	0.46746024	0.4607823	0.46106914	0.466594	0.4640345	0.4557059	0.463831	0.4643793	0.4650358	0.46685186	0.46102875	0.46055198	0.45926693	0.4649628	0.4671936	0.45972985	0.46559215	0.47107244	0.4676664	0.46129707	0.46391174	0.46003285	0.463741	0.4653547	0.45832637	0.4643562	0.46155918	0.45938325	0.4642264	0.46423852	0.46783906	0.46253976	0.45798704	0.4630699	0.46022043	0.46144664	0.46253046	0.46035025	0.45703077	0.4659861	0.46548486	0.45916116	0.46050718	0.4617492	0.45915782	0.46167246	0.46292907	0.46311125	0.46072713	0.46465015	0.46345103	0.46913192	0.46264783	0.4663876	0.46255147	0.45826027	0.4600274	0.46101892	0.4647604	0.45700857	0.46414185	0.46117073	0.45955124	0.4613569	0.4601389	0.4681309	0.46573985	0.46253413	0.5788309	0.78483164	0.42993578	0.34996688	0.5022034	0.7886305	0.604897	0.78934324	0.39152223	0.35582632	0.3746678	0.58481145	0.4004277	0.5147592	0.32298926	0.3366331	0.3898792	0.36199424	0.20450597	0.39743087	0.55658877	0.47200856	0.4271372	0.37977132	0.40104973	0.404778	0.2625376	0.6605658	0.3872375	0.4595086	0.34685916	0.7369422	0.31403348	0.5322391	0.709739	0.5937683	0.75038075	0.33532146	0.3858526	0.38316768	0.4172842	0.5030529	0.5669572	0.64209795	0.3048613	0.6466331	0.48146173	0.50039804	0.23047327	0.7319567	0.36517072	0.41676313	0.7084152	0.5914937	0.47687533	0.3857228	0.58488953	0.37330556	0.73785704	0.3053006	0.7451251	0.3831962	0.364025	0.76130915	0.38408858	0.648857	0.6586074	0.3676921	0.7228015	0.31078556	0.61972696	0.25991222	0.31576127	0.6572679	0.6899531	0.612213	0.33697134	0.5120634	0.38415927	0.51555544	0.730176	0.7035732	0.6256462	0.7653433	0.5477357	0.7318766	0.2735495	0.61125845	0.5667291	0.3364301	0.55247414	0.6888624	0.35266393	0.37125093	0.7495634	0.23356655	0.37919185	0.7359541	0.29426438	0.69250965
Overhage10003_Pae_G1a.CEL	0.4616442	0.465427	0.4649795	0.4619588	0.46473825	0.46161363	0.46193743	0.46201167	0.45987976	0.46542546	0.4660314	0.46099955	0.463476	0.4628594	0.45959973	0.46446964	0.4675821	0.46649006	0.46634182	0.46685195	0.46386394	0.4643514	0.4657144	0.46267113	0.46289533	0.4647949	0.46434757	0.4604621	0.4607411	0.46366087	0.4577543	0.4608212	0.46803665	0.46135727	0.46163929	0.46715894	0.46459848	0.45627755	0.46439174	0.46494782	0.46562093	0.46742916	0.4616156	0.46113884	0.4598292	0.46553886	0.46776617	0.46029872	0.46616504	0.47165924	0.46823657	0.46185923	0.46449795	0.46060705	0.4643155	0.4659279	0.4588977	0.46492806	0.46213394	0.4599641	0.46480232	0.46481556	0.4684209	0.46312085	0.45855364	0.46364087	0.46079433	0.46202317	0.46309406	0.4609256	0.4576077	0.46656275	0.46607625	0.45972756	0.46107796	0.46231964	0.45972705	0.46226275	0.46350434	0.46369168	0.46130103	0.4652247	0.46402445	0.46970984	0.46322238	0.46695295	0.46311322	0.45882884	0.46058688	0.46158487	0.46534765	0.4575798	0.46470708	0.46174332	0.46011496	0.4619304	0.46071228	0.46873242	0.46631357	0.46311006	0.5789616	0.7849812	0.43001312	0.35003644	0.5022916	0.7887754	0.6049791	0.7894954	0.39162195	0.35588476	0.37476346	0.584918	0.40050352	0.5148596	0.323041	0.33669963	0.3899386	0.36204505	0.20454074	0.39750928	0.55669826	0.4721024	0.4272301	0.37982246	0.4011348	0.40485346	0.26257956	0.6606677	0.387324	0.45960513	0.34690586	0.737073	0.31408978	0.5323457	0.70986634	0.5938694	0.75053877	0.33537573	0.38591012	0.3832282	0.41735888	0.50317657	0.56707245	0.642214	0.30488715	0.6467639	0.48156863	0.50048	0.23051633	0.7321157	0.36524194	0.41684392	0.708568	0.59160835	0.47698578	0.38578394	0.5850246	0.3733629	0.7380022	0.30532843	0.7452667	0.38326836	0.36409414	0.76146704	0.38414112	0.6490065	0.6587267	0.36776906	0.7229327	0.31083027	0.61983633	0.2599618	0.31582332	0.65737075	0.6900876	0.61232734	0.33703828	0.5121367	0.38422036	0.515684	0.73032653	0.7037301	0.6257675	0.7654799	0.5478558	0.7320372	0.27359113	0.6113596	0.5668508	0.33646396	0.552576	0.68899673	0.35273364	0.3713226	0.74970675	0.23361385	0.3792842	0.73611027	0.2943132	0.692642
GSM2070491_OCio-05-MutS_A_d94_2-Pae_G1a-a1.CEL	0.46221688	0.46600866	0.46556485	0.46252975	0.4653143	0.4621851	0.4625106	0.4625878	0.4604586	0.4660025	0.4666131	0.46156734	0.46404633	0.46345305	0.46017393	0.465037	0.46816778	0.46705705	0.4669151	0.46743578	0.4644463	0.46491963	0.46628478	0.46324825	0.46346402	0.46538615	0.4649298	0.4610329	0.46130022	0.4642491	0.4583253	0.46139055	0.46861303	0.46193233	0.46220946	0.46772394	0.46516252	0.45684934	0.4649525	0.4655164	0.46620595	0.4680065	0.4622025	0.46172577	0.46039152	0.466115	0.4683388	0.46086764	0.466738	0.4722461	0.46880677	0.4624215	0.46508422	0.46118128	0.46489	0.46650112	0.45946908	0.4654999	0.46270874	0.4605451	0.4653783	0.46539256	0.46900278	0.46370208	0.45912024	0.464212	0.46136838	0.46259975	0.4636578	0.46150103	0.45818472	0.46713945	0.4666677	0.46029413	0.4616488	0.46289015	0.46029627	0.46285304	0.4640796	0.4642721	0.46187505	0.4657992	0.46459797	0.4702879	0.46379703	0.4675183	0.4636751	0.45939744	0.46114638	0.46215093	0.465935	0.45815104	0.4652724	0.46231598	0.46067876	0.46250394	0.46128577	0.46933404	0.46688724	0.46368602	0.5790924	0.78513074	0.43009037	0.35010603	0.50237983	0.78892016	0.6050612	0.78964734	0.3917217	0.35594323	0.37485912	0.58502465	0.4005793	0.51496017	0.32309285	0.33676624	0.38999802	0.36209592	0.20457551	0.39758766	0.55680776	0.47219625	0.42732298	0.3798736	0.40121984	0.40492895	0.26262143	0.6607695	0.3874105	0.4597017	0.34695247	0.7372037	0.3141462	0.53245234	0.7099936	0.5939705	0.7506966	0.33542997	0.38596758	0.3832887	0.41743356	0.50330025	0.5671876	0.64233005	0.304913	0.64689475	0.48167554	0.50056195	0.23055944	0.73227465	0.36531323	0.41692472	0.7087206	0.59172297	0.4770962	0.38584504	0.58515966	0.37342024	0.73814726	0.30535626	0.74540836	0.3833405	0.36416325	0.761625	0.38419363	0.6491559	0.658846	0.36784595	0.72306365	0.31087497	0.6199455	0.2600114	0.31588537	0.65747344	0.69022214	0.6124417	0.33710515	0.51221	0.38428152	0.5158125	0.730477	0.703887	0.62588876	0.7656164	0.5479759	0.73219764	0.27363265	0.6114607	0.56697255	0.33649775	0.55267787	0.6891311	0.35280338	0.37139416	0.74985003	0.23366114	0.3793766	0.7362663	0.29436213	0.69277436
