	PA3423	PA0084	PA2455	PA3029	PA1588	PA2220	PA4656	PA3585	PA1325	PA3067	PA1018	PA3558	PA2145	PA4624	PA5159	PA1429	PA5032	PA4551	PA1532	PA2918	PA0748	PA4370	PA3387	PA4813	PA4142	PA1365	PA1214	PA1687	PA0638	PA1558	PA2809	PA2648	PA0193	PA3770	PA2792	PA0221	PA4197	PA3414	PA0029	PA0055	PA5460	PA1342	PA4772	PA1466	PA2356	PA0816	PA5367	PA3406	PA0868	PA4755	PA1489	PA3083	PA1909	PA4309	PA4903	PA2713	PA0330	PA1907	PA0982	PA4103	PA1774	PA4567	PA5508	PA1524	PA2118	PA4842	PA3564	PA4264	PA1064	PA0341	PA1345	PA2478	PA0077	PA1232	PA1878	PA2875	PA4436	PA2812	PA1286	PA3173	PA2662	PA0106	PA0405	PA0499	PA3658	PA0644	PA3190	PA1471	PA0096	PA3023	PA1766	PA4217	PA0996	PA3950	PA5115	PA0505	PA0114	PA5150	PA4042	PA2678	PA5112	PA3528	PA4610	PA1692	PA3056	PA5552	PA0999	PA4667	PA1252	PA0672	PA4146	PA1382	PA2816	PA1939	PA1706	PA1370	PA1363	PA2418	PA1255	PA4504	PA0760	PA4358	PA0028	PA1225	PA0027	PA5509	PA4155	PA1552	PA5091	PA0803	PA2217	PA4237	PA3404	PA0556	PA3861	PA3494	PA1527	PA2043	PA1547	PA0233	PA3128	PA2772	PA1475	PA3309	PA1491	PA1493	PA4792	PA4347	PA2090	PA3466	PA4305	PA3501	PA2727	PA1006	PA0569	PA5393	PA3858	PA1637	PA5263	PA5207	PA4789	PA1694	PA1130	PA4453	PA1960	PA2770	PA4760	PA2451	PA1049	PA4513	PA4281	PA0497	PA2182	PA3579	PA0372	PA3053	PA4334	PA4494	PA4814	PA0901	PA5274	PA0571	PA1306	PA3115	PA5319	PA0299	PA2307	PA3722	PA3094	PA3367	PA2577	PA3764	PA5116	PA2218	PA2614	PA4125	PA4024	PA0425	PA2225	PA3735
GSM560759.CEL	0.36888033	0.371127	0.3701235	0.3694579	0.37133253	0.36903915	0.36908346	0.36869404	0.36621276	0.37184733	0.3717003	0.36900964	0.37101388	0.36677924	0.36667517	0.37244183	0.3725733	0.37444434	0.37331292	0.3721687	0.36950362	0.3721739	0.37316272	0.36917707	0.37071687	0.36901724	0.36999562	0.3680287	0.3701252	0.3684002	0.36539322	0.36860177	0.37445825	0.36823738	0.36926484	0.3754027	0.37308043	0.36385208	0.37338918	0.3727057	0.37077397	0.37372723	0.36663726	0.36617655	0.368737	0.37210065	0.37479234	0.36816424	0.37319976	0.37630555	0.37562588	0.3707184	0.36951232	0.36763614	0.37116578	0.37292215	0.3664307	0.37217382	0.36902043	0.3659707	0.37140602	0.37125424	0.3739711	0.3689805	0.36683783	0.37105563	0.3678557	0.36863473	0.37168124	0.36776188	0.36431736	0.37299472	0.37022647	0.36799297	0.3686222	0.3698714	0.3675637	0.36673376	0.3702619	0.36964178	0.36833984	0.3720368	0.37104377	0.37581968	0.3700987	0.3751458	0.37198827	0.36680138	0.36991134	0.3698585	0.3701612	0.36517832	0.37298325	0.3689822	0.36879668	0.3690215	0.36785707	0.37119126	0.3732207	0.3697787	0.5570769	0.75905	0.41720578	0.33855566	0.48761734	0.7636714	0.5912468	0.7630895	0.37515825	0.3462192	0.35898668	0.56708676	0.3879626	0.49813563	0.31448686	0.32571456	0.38009962	0.35362783	0.19880971	0.3845408	0.53841615	0.45652536	0.41184968	0.37136173	0.38707	0.39236432	0.25566533	0.6435136	0.3730345	0.4435923	0.3391826	0.7147485	0.30478683	0.51457006	0.68825036	0.5769564	0.7233584	0.32641315	0.37639168	0.3732109	0.40498993	0.48260605	0.54781556	0.6226879	0.30060178	0.62470734	0.46381566	0.4868504	0.22342671	0.70486593	0.35347548	0.40346637	0.68253344	0.5724133	0.45865303	0.37566447	0.5623986	0.36387852	0.71315694	0.30072567	0.72100306	0.37134385	0.35267952	0.7342063	0.3754388	0.6237597	0.6386128	0.35506848	0.7006107	0.30344328	0.6014951	0.25179705	0.3055937	0.64007425	0.667273	0.5931468	0.32600042	0.49993432	0.37410527	0.49429026	0.70456916	0.6769911	0.6053772	0.7420078	0.5278115	0.7045073	0.2667253	0.5944125	0.5465046	0.3308597	0.535573	0.66622484	0.34122238	0.35948992	0.7251234	0.22583698	0.36404258	0.70934504	0.286249	0.67019343
GSM1889281_D-Hyp_02.CEL	0.3709253	0.37320685	0.37221447	0.37149772	0.3733934	0.37108013	0.3711306	0.37075076	0.3682748	0.3739123	0.37378135	0.3710381	0.37305415	0.3688936	0.36872172	0.37447384	0.37466967	0.37647843	0.3753673	0.3742577	0.3715835	0.374209	0.37520668	0.37123793	0.37275076	0.3711271	0.3720757	0.37006593	0.37212497	0.3704984	0.36742666	0.3706348	0.37652543	0.37028944	0.37130177	0.37743136	0.37510207	0.36588562	0.37539998	0.37474263	0.37286535	0.37579644	0.36872786	0.36826634	0.3707459	0.37416276	0.37684673	0.37019506	0.37525266	0.3784126	0.37767312	0.37272996	0.37160558	0.36968455	0.373221	0.37497574	0.36846724	0.3742213	0.37107298	0.36803964	0.37346673	0.37331834	0.37605667	0.37105513	0.36885858	0.37309858	0.36990356	0.37069288	0.37369946	0.36981452	0.36636972	0.37506044	0.37233895	0.37001508	0.3706604	0.3719104	0.3695947	0.36883625	0.37231836	0.37171504	0.3703885	0.37409356	0.37309524	0.37789473	0.37215245	0.3771753	0.3740005	0.36882883	0.37191215	0.3718819	0.37225938	0.36721238	0.3750092	0.37102717	0.37081048	0.37106973	0.36990312	0.37334096	0.37527633	0.37183657	0.5575806	0.7596668	0.4174978	0.3388164	0.48795313	0.76426834	0.5915628	0.76371866	0.37553206	0.34643903	0.3593446	0.5674971	0.3882481	0.4985186	0.31468132	0.32596388	0.3803238	0.3538195	0.19893952	0.38483593	0.53883606	0.45688108	0.41219997	0.37155455	0.38738993	0.39264876	0.25582218	0.64391065	0.3733592	0.4439577	0.3393584	0.7152722	0.30499804	0.5149776	0.688755	0.5773457	0.7240006	0.32661688	0.37660852	0.37343907	0.4052718	0.48307657	0.54825824	0.62313956	0.30069947	0.62521845	0.4642212	0.48716232	0.22358729	0.70550746	0.3537429	0.40377107	0.68314314	0.5728554	0.45907164	0.375895	0.5629198	0.36409447	0.7137411	0.30083057	0.721574	0.37161514	0.35293904	0.7348521	0.3756371	0.62434584	0.639079	0.355357	0.70113313	0.30361128	0.6019183	0.2519821	0.30582574	0.6404745	0.66780466	0.5935893	0.32625103	0.50021374	0.37433562	0.49478006	0.70517445	0.67761713	0.6058484	0.7425618	0.5282716	0.7051557	0.2668812	0.59480315	0.5469724	0.33098745	0.5359633	0.6667553	0.34148383	0.35975897	0.7257026	0.22601293	0.36438859	0.70997536	0.28643212	0.6707165
GSM1267092_HZI1955_Pae_G1a.CEL	0.37183562	0.37413278	0.37314537	0.37240568	0.37431076	0.37198874	0.3720418	0.37166637	0.36919284	0.37483153	0.37470776	0.37194103	0.37396234	0.36983487	0.36963284	0.3753784	0.37560287	0.37738383	0.37628177	0.37518767	0.37250936	0.37511486	0.37611648	0.37215546	0.3736561	0.37206635	0.3730016	0.3709728	0.37301514	0.37143248	0.36833188	0.3715399	0.3774456	0.37120298	0.3722085	0.37833425	0.37600198	0.36679092	0.37629497	0.37564936	0.37379634	0.37671757	0.36965856	0.36919674	0.37164015	0.37508073	0.37776121	0.37109914	0.37616652	0.37935057	0.37858438	0.37362534	0.37253746	0.3705964	0.37413582	0.37588987	0.3693739	0.37513277	0.3719867	0.36896068	0.37438402	0.37423715	0.37698498	0.3719787	0.3697582	0.37400788	0.37081522	0.37160912	0.37459785	0.37072828	0.3672835	0.37597996	0.3732793	0.37091526	0.37156767	0.37281805	0.37049875	0.3697723	0.3732338	0.372638	0.37130058	0.3750091	0.37400842	0.37881833	0.3730667	0.37807864	0.37489617	0.36973134	0.37280288	0.37278265	0.37319338	0.36811793	0.37591103	0.37193754	0.37170693	0.37198153	0.37081403	0.37429798	0.37619138	0.37275273	0.55780447	0.7599405	0.41762754	0.33893234	0.48810235	0.7645334	0.5917032	0.76399803	0.37569824	0.3465368	0.3595037	0.5676794	0.388375	0.49868876	0.31476778	0.32607478	0.38042343	0.3539047	0.19899717	0.38496706	0.53902256	0.45703915	0.41235566	0.37164026	0.38753217	0.39277512	0.25589198	0.6440871	0.37350357	0.44412005	0.33943656	0.71550465	0.30509198	0.51515865	0.688979	0.57751876	0.7242857	0.3267076	0.3767049	0.37354046	0.4053971	0.48328567	0.54845494	0.62334025	0.3007429	0.62544554	0.46440145	0.4873009	0.22365862	0.70579237	0.35386184	0.4039065	0.683414	0.5730518	0.4592577	0.37599736	0.5631514	0.36419046	0.7140005	0.30087724	0.72182757	0.3717357	0.35305434	0.7351387	0.37572524	0.62460613	0.63928616	0.3554853	0.70136505	0.30368593	0.6021064	0.2520643	0.30592895	0.6406523	0.6680408	0.593786	0.32636243	0.5003379	0.37443802	0.49499774	0.7054433	0.6778952	0.6060577	0.74280787	0.52847606	0.70544344	0.26695052	0.5949767	0.54718024	0.3310442	0.53613675	0.666991	0.34160006	0.35987857	0.7259598	0.22609109	0.3645424	0.7102553	0.28651354	0.6709489
GSM774135_B6-0_3.CEL	0.37330657	0.3756288	0.37464947	0.3738729	0.37579304	0.3734568	0.3735143	0.37314576	0.37067628	0.3763168	0.37620458	0.37340006	0.3754298	0.37135592	0.37110496	0.37683988	0.3771108	0.37884668	0.3777593	0.37669027	0.37400535	0.3765785	0.37758648	0.37363783	0.37511897	0.3735841	0.3744979	0.3724381	0.3744534	0.37294185	0.36979467	0.37300223	0.3789324	0.37267902	0.37367362	0.37979314	0.3774558	0.36825374	0.377741	0.3771143	0.37530068	0.3782058	0.3711625	0.37070015	0.3730851	0.37656397	0.37923872	0.3725599	0.377643	0.380866	0.3800567	0.37507212	0.37404314	0.3720698	0.37561408	0.37736678	0.37083885	0.37660536	0.37346312	0.37044895	0.3758662	0.37572178	0.37848505	0.373471	0.3712117	0.3754773	0.37228826	0.3730896	0.3760493	0.37220478	0.3687599	0.37746572	0.3747989	0.3723698	0.37303367	0.37428463	0.37195966	0.37128472	0.3747129	0.3741293	0.37277427	0.37648836	0.3754839	0.38031077	0.37454388	0.3795382	0.37634337	0.37118968	0.37424198	0.37423804	0.3747026	0.36958122	0.37736812	0.37340847	0.37315547	0.37345478	0.37228575	0.37584433	0.37766993	0.37423298	0.55816567	0.76038194	0.41783702	0.33911946	0.48834315	0.76496065	0.5919298	0.76444817	0.37596646	0.34669456	0.35976052	0.5679736	0.38857982	0.49896336	0.3149073	0.32625374	0.38058424	0.3540422	0.1990904	0.38517883	0.5393236	0.45729437	0.41260695	0.37177858	0.38776174	0.39297917	0.25600457	0.6443716	0.3737366	0.44438216	0.33956277	0.7158796	0.3052435	0.51545084	0.6893405	0.57779783	0.7247455	0.32685375	0.37686044	0.3737041	0.40559924	0.4836231	0.5487723	0.623664	0.30081302	0.6258119	0.46469232	0.48752457	0.22377379	0.7062517	0.35405374	0.40412512	0.68385065	0.5733688	0.45955795	0.37616274	0.5635251	0.36434537	0.7144189	0.30095246	0.7222364	0.37193036	0.35324058	0.7356008	0.37586755	0.62502617	0.63962024	0.3556923	0.70173925	0.3038065	0.6024098	0.25219706	0.30609545	0.6409392	0.6684217	0.5941031	0.3265422	0.50053823	0.37460327	0.49534896	0.70587677	0.67834365	0.60639536	0.74320453	0.528806	0.70590764	0.26706246	0.59525675	0.5475156	0.33113587	0.5364166	0.6673711	0.3417877	0.36007154	0.72637445	0.2262174	0.3647907	0.71070653	0.2866449	0.6713238
GSM2070517_OCio-07-MutS-1-d94-cipro-Pae_G1a-a1.CEL	0.37384582	0.37617728	0.37520087	0.37441072	0.3763364	0.373995	0.37405404	0.3736881	0.37122008	0.37686127	0.37675333	0.37393486	0.3759677	0.37191358	0.3716447	0.37737563	0.37766355	0.37938297	0.3783009	0.37724113	0.37455383	0.37711513	0.37812537	0.37418133	0.37565523	0.37414047	0.37504634	0.37297523	0.37498066	0.37349516	0.3703309	0.37353832	0.37947732	0.3732202	0.37421072	0.38032794	0.37798885	0.36879003	0.3782711	0.37765133	0.37585214	0.37875137	0.3717138	0.37125129	0.37361476	0.37710768	0.37978032	0.37309545	0.37818426	0.3814215	0.3805964	0.37560254	0.37459517	0.37260997	0.37615594	0.3779082	0.37137592	0.37714514	0.37400442	0.3709946	0.37640953	0.37626606	0.3790349	0.3740181	0.37174457	0.37601593	0.3728283	0.3736323	0.37658143	0.37274605	0.36930123	0.37801036	0.37535596	0.37290293	0.3735711	0.3748223	0.37249517	0.37183923	0.37525514	0.37467602	0.3733145	0.37703067	0.37602487	0.3808578	0.3750854	0.38007322	0.37687388	0.3717243	0.3747695	0.37477157	0.3752559	0.37011763	0.37790215	0.37394768	0.37368643	0.3739949	0.37282526	0.37641126	0.37821183	0.3747756	0.55829793	0.7605434	0.41791373	0.33918798	0.48843133	0.76511693	0.59201276	0.76461285	0.3760647	0.34675232	0.3598546	0.5680813	0.38865486	0.49906394	0.31495836	0.32631922	0.3806431	0.35409257	0.1991246	0.38525635	0.53943384	0.45738783	0.41269898	0.37182924	0.38784575	0.3930539	0.25604582	0.64447576	0.37382194	0.44447812	0.3396089	0.7160168	0.305299	0.5155579	0.68947285	0.5779001	0.7249138	0.32690728	0.37691742	0.3737641	0.4056733	0.48374665	0.5488885	0.6237826	0.30083865	0.6259459	0.46479887	0.48760647	0.22381608	0.70641977	0.35412395	0.40420517	0.6840105	0.5734847	0.4596679	0.37622327	0.5636619	0.36440212	0.714572	0.30098006	0.72238594	0.37200162	0.35330868	0.73577	0.37591964	0.62517995	0.63974255	0.3557681	0.7018761	0.30385062	0.6025209	0.25224563	0.3061565	0.6410442	0.6685611	0.59421927	0.3266081	0.50061166	0.37466383	0.4954776	0.70603544	0.67850775	0.60651904	0.7433496	0.52892673	0.70607746	0.26710337	0.59535927	0.5476384	0.33116946	0.5365191	0.66751033	0.34185642	0.36014223	0.7265262	0.22626363	0.3648816	0.7108717	0.286693	0.6714609
GSM794228_A29.CEL	0.37904644	0.38146663	0.3805189	0.37959796	0.3815768	0.37918553	0.37926	0.37891886	0.37646553	0.38211212	0.38204542	0.3790932	0.38115558	0.37729254	0.3768502	0.3825421	0.3829947	0.3845539	0.38352415	0.38255355	0.3798434	0.38228932	0.383322	0.37942266	0.38082695	0.3795072	0.3803364	0.37815621	0.38006523	0.3788322	0.37550306	0.37870845	0.384733	0.37843925	0.37939066	0.38548458	0.38312823	0.373963	0.38338256	0.38283005	0.381171	0.38401246	0.37703204	0.37656784	0.37872317	0.3823513	0.38500315	0.3782602	0.38340375	0.38677865	0.3858007	0.380717	0.37991926	0.37781978	0.381382	0.38312945	0.3765558	0.38235125	0.3792246	0.37625757	0.38164958	0.3815149	0.38433775	0.37929466	0.3768839	0.3812107	0.37803668	0.37886688	0.38171262	0.37796664	0.37452245	0.38326278	0.380729	0.37804538	0.3787543	0.38000733	0.37766048	0.3771879	0.38048464	0.37994885	0.37852502	0.38226038	0.3812413	0.3861332	0.38030806	0.3852322	0.38198975	0.3768807	0.379857	0.37991685	0.38059226	0.37529168	0.3830528	0.37914842	0.3788074	0.3792037	0.37802914	0.3818793	0.3834385	0.38000908	0.55956906	0.76209223	0.41865155	0.3398472	0.48927927	0.76661617	0.59281015	0.7661925	0.37700987	0.34730807	0.36075962	0.5691166	0.3893763	0.5000309	0.31544986	0.32694983	0.38120955	0.354577	0.19945292	0.3860022	0.5404936	0.4582864	0.41358417	0.37231645	0.38865453	0.39377257	0.2564426	0.6454767	0.37464282	0.44540122	0.34005338	0.71733433	0.305833	0.51658666	0.69074345	0.57888246	0.726528	0.32742235	0.37746543	0.37434056	0.4063855	0.48493493	0.55000556	0.62492156	0.3010856	0.6272344	0.46582323	0.48839402	0.22422215	0.7080332	0.35479996	0.40497518	0.6855452	0.57460016	0.4607254	0.3768057	0.56497693	0.36494792	0.7160415	0.30124515	0.72382206	0.37268728	0.35396457	0.73739254	0.3764208	0.62665707	0.6409177	0.3564976	0.703191	0.30427518	0.60358846	0.2527135	0.3067433	0.64205325	0.6699001	0.5953354	0.3272416	0.5013171	0.375246	0.49671444	0.7075583	0.6800837	0.6077073	0.74474245	0.5300882	0.7077078	0.26749766	0.5963447	0.5488188	0.33149222	0.5375043	0.66884667	0.3425175	0.36082226	0.72798264	0.22670873	0.36575645	0.7124568	0.287156	0.67277855
GSM741213.CEL	0.37956807	0.38199708	0.38105235	0.3801182	0.38210243	0.3797061	0.3797822	0.37944353	0.37699166	0.38263875	0.38257623	0.37961054	0.3816759	0.3778322	0.37737232	0.38306022	0.38352937	0.38507247	0.38404799	0.38308632	0.38037398	0.38280824	0.38384315	0.37994838	0.38134563	0.38004553	0.38086703	0.3786759	0.38057518	0.3793676	0.3760219	0.379227	0.38526008	0.37896276	0.37991017	0.38600174	0.38364363	0.37448195	0.3838952	0.3833494	0.38170448	0.38454014	0.37756556	0.37710118	0.3792356	0.38287723	0.38552693	0.3787782	0.38392723	0.38731593	0.3863226	0.38122994	0.38045335	0.3783423	0.3819061	0.38365313	0.3770754	0.38287336	0.37974817	0.37678546	0.38217512	0.3820414	0.3848696	0.37982392	0.3773994	0.38173172	0.3785591	0.37939194	0.38222718	0.37849033	0.37504628	0.38378954	0.38126794	0.37856117	0.37927413	0.38052738	0.37817854	0.37772447	0.38100913	0.38047773	0.3790477	0.38278487	0.38176453	0.38666224	0.3808319	0.3857496	0.38250282	0.37739792	0.38036728	0.3804329	0.38112754	0.3758107	0.38356936	0.37967	0.379321	0.3797262	0.37855104	0.38242775	0.3839627	0.38053402	0.55969614	0.7622467	0.41872534	0.33991316	0.48936406	0.7667657	0.5928899	0.76635003	0.3771044	0.34736362	0.36085016	0.5692201	0.38944852	0.5001276	0.31549907	0.32701284	0.38126627	0.35462546	0.19948573	0.38607687	0.5405995	0.4583763	0.41367275	0.37236518	0.3887354	0.39384452	0.2564823	0.6455767	0.37472492	0.44549355	0.34009776	0.7174659	0.30588645	0.51668954	0.6908703	0.5789806	0.7266891	0.3274739	0.37752026	0.37439826	0.4064568	0.4850538	0.55011725	0.62503535	0.30111027	0.62736315	0.4659257	0.48847282	0.22426274	0.70819414	0.35486764	0.4050522	0.68569845	0.5747116	0.4608312	0.376864	0.56510836	0.36500248	0.7161882	0.30127168	0.7239654	0.3727559	0.3540302	0.73755443	0.37647092	0.62680465	0.64103514	0.35657057	0.70332235	0.30431768	0.60369515	0.25276026	0.30680203	0.6421541	0.67003393	0.59544694	0.327305	0.5013876	0.3753042	0.49683818	0.70771027	0.68024105	0.60782605	0.7448816	0.5302043	0.70787054	0.26753706	0.5964432	0.5489369	0.33152452	0.5376028	0.6689801	0.34258363	0.3608903	0.728128	0.22675326	0.36584392	0.7126151	0.28720224	0.67291015
GSM208610.CEL	0.38488346	0.38740286	0.38648802	0.38541958	0.3874579	0.38501102	0.38510293	0.38478985	0.38235384	0.38800487	0.3879847	0.38488233	0.38697746	0.38333154	0.3826933	0.3883394	0.38897765	0.3903557	0.38938525	0.38851553	0.38578063	0.3880954	0.38915312	0.38530552	0.38663074	0.3855315	0.38627395	0.38397124	0.38577095	0.38482335	0.38130906	0.38451117	0.39063028	0.38429725	0.3852041	0.39126995	0.38889492	0.3797703	0.38911766	0.38864115	0.38714063	0.38991615	0.3830025	0.38253638	0.38445613	0.38823575	0.39086336	0.38405684	0.38926068	0.3927899	0.39163968	0.38645625	0.38589525	0.38366744	0.38724685	0.38898847	0.38237008	0.38819325	0.38508353	0.3821656	0.38753024	0.38740554	0.39028847	0.38521725	0.3826524	0.38704032	0.3838827	0.3847422	0.3874704	0.3838265	0.38038415	0.38915688	0.38676	0.38381696	0.3845717	0.3858264	0.3834579	0.38319257	0.38635373	0.385867	0.38437334	0.38812912	0.3870955	0.39205226	0.3861695	0.39102036	0.38773012	0.38266844	0.38556603	0.38569108	0.38658193	0.3810998	0.38883212	0.3849853	0.38455448	0.38504994	0.38386998	0.38801715	0.3893034	0.38588288	0.56098676	0.76381254	0.41947538	0.34058365	0.49022564	0.7682814	0.5936996	0.76794666	0.3780657	0.34792873	0.36177075	0.57027143	0.3901821	0.50111	0.3159989	0.32765418	0.38184214	0.35511798	0.19981979	0.38683528	0.5416758	0.45928967	0.41457272	0.3728605	0.38955775	0.3945752	0.25688583	0.64659226	0.37555987	0.44643185	0.34054968	0.71880025	0.30642956	0.51773465	0.6921579	0.57997805	0.7283226	0.3279977	0.37807736	0.3749844	0.4071809	0.48626128	0.5512517	0.626191	0.30136117	0.62867016	0.46696684	0.48927298	0.22467588	0.70982754	0.35555515	0.4058351	0.6872532	0.57584393	0.461906	0.37745616	0.56644344	0.3655574	0.71767616	0.30154118	0.7254193	0.3734531	0.35469726	0.7391957	0.3769804	0.6283027	0.64222723	0.3573124	0.70465446	0.3047495	0.60477877	0.2532363	0.30739895	0.6431779	0.67139137	0.59657985	0.3279494	0.5021044	0.37589607	0.4980949	0.7092523	0.68183756	0.60903186	0.74629116	0.5313839	0.709521	0.267938	0.5974435	0.5501356	0.33185264	0.5386034	0.67033476	0.34325594	0.3615818	0.72960234	0.22720617	0.36673376	0.71421975	0.28767318	0.6742459
GSM208617.CEL	0.3854711	0.38800058	0.38708895	0.3860057	0.38805	0.3855975	0.38569117	0.38538098	0.38294673	0.38859808	0.38858262	0.38546517	0.38756356	0.3839396	0.3832816	0.38892296	0.38958	0.39093974	0.38997525	0.38911575	0.3863784	0.38867995	0.38974014	0.3858978	0.38721496	0.38613805	0.38687173	0.3845567	0.38634527	0.3854266	0.3818936	0.38509533	0.39122394	0.38488698	0.38578933	0.39185232	0.38947538	0.38035503	0.389695	0.38922614	0.38774166	0.39051047	0.3836036	0.38313735	0.3850333	0.38882816	0.39145324	0.38464046	0.3898503	0.39339495	0.39222744	0.38703403	0.386497	0.3842562	0.38783732	0.38957825	0.38295552	0.38878137	0.38567337	0.38276055	0.38812226	0.38799858	0.39088756	0.38581362	0.3832332	0.3876272	0.38447136	0.38533375	0.38805005	0.38441652	0.38097438	0.3897502	0.3873672	0.384398	0.38515738	0.3864122	0.38404158	0.3837973	0.38694462	0.3864628	0.3849621	0.38871998	0.38768482	0.39264804	0.38675958	0.39160293	0.388308	0.38325116	0.38614073	0.3862724	0.38718498	0.3816846	0.38941386	0.385573	0.38513306	0.3856385	0.38445807	0.3886352	0.3898938	0.38647428	0.56112903	0.76398474	0.41955802	0.3406576	0.49032068	0.7684482	0.59378874	0.76812226	0.37817174	0.3479911	0.36187232	0.57038724	0.39026305	0.5012183	0.31605402	0.3277249	0.38190562	0.3551723	0.19985665	0.38691893	0.5417944	0.45939037	0.41467196	0.37291512	0.38964844	0.3946558	0.2569304	0.64670414	0.37565196	0.44653538	0.34059954	0.7189471	0.3064895	0.51784986	0.6922997	0.58008796	0.72850233	0.3280555	0.37813878	0.37504902	0.40726072	0.4863944	0.5513767	0.6263183	0.3013889	0.6288141	0.4670816	0.4893612	0.22472142	0.7100073	0.355631	0.40592143	0.68742424	0.5759688	0.46202442	0.37752146	0.56659055	0.3656186	0.7178399	0.30157092	0.7255793	0.37353003	0.35477084	0.73937625	0.37703657	0.62846774	0.64235854	0.35739422	0.704801	0.30479717	0.6048981	0.25328878	0.3074648	0.64329064	0.67154086	0.59670466	0.3280205	0.5021834	0.3759613	0.49823338	0.709422	0.6820133	0.60916466	0.74644613	0.5315139	0.7097026	0.2679822	0.5975538	0.5502677	0.33188888	0.5387137	0.67048395	0.3433301	0.36165807	0.7297645	0.22725615	0.3668319	0.71439636	0.2877251	0.67439294
DC3.CEL	0.3898047	0.3924077	0.3915208	0.3903277	0.3924159	0.38992244	0.39002913	0.38973996	0.38731924	0.3929725	0.39299187	0.38976303	0.3918854	0.38842443	0.38762027	0.39322612	0.3940216	0.3952458	0.39432576	0.3935418	0.39078656	0.39298972	0.39406836	0.3902654	0.39152333	0.39061132	0.39128006	0.388874	0.39058062	0.3898752	0.3862049	0.38940343	0.39560112	0.38923633	0.39010534	0.39614588	0.39375553	0.38466766	0.3939516	0.39353952	0.39217377	0.39489266	0.3880372	0.3875697	0.3892893	0.3931964	0.3958028	0.38894412	0.39419773	0.39785662	0.39656097	0.3912943	0.39093414	0.38859805	0.39219114	0.39392728	0.38727275	0.393118	0.39002326	0.38714784	0.3924878	0.39237165	0.3953047	0.390211	0.38751605	0.39195475	0.3888119	0.38969597	0.39232388	0.3887674	0.3853274	0.39412543	0.39184517	0.38868293	0.38947636	0.3907322	0.388346	0.38825646	0.39130178	0.39085677	0.38930425	0.39307648	0.39203075	0.39704123	0.3911111	0.39589867	0.3925688	0.38754842	0.39037868	0.39055893	0.39163214	0.38599747	0.39370346	0.38990653	0.3893996	0.38997895	0.38879478	0.39319265	0.3942472	0.39083505	0.5621751	0.7652487	0.4201666	0.34120184	0.49101946	0.7696717	0.59444493	0.76941085	0.3789522	0.3484498	0.3626198	0.5712393	0.3908584	0.50201505	0.31645977	0.32824564	0.38237295	0.35557202	0.20012784	0.38753444	0.542667	0.46013132	0.41540238	0.3733171	0.39031592	0.3952488	0.2572581	0.6475266	0.37632966	0.44729662	0.3409662	0.72002614	0.30693042	0.5186973	0.69334155	0.5808963	0.72982204	0.32848066	0.37859088	0.37552473	0.4078483	0.48737383	0.55229634	0.62725437	0.30159253	0.6298726	0.46792623	0.49001026	0.22505698	0.71132755	0.35618904	0.4065567	0.68868184	0.5768865	0.4628964	0.37800196	0.5676725	0.3660689	0.71904284	0.30178958	0.72675455	0.3740959	0.35531226	0.7407018	0.37745	0.62968063	0.6433239	0.3579965	0.7058785	0.30514756	0.6057761	0.25367528	0.30794948	0.64412	0.6726393	0.59762263	0.32854363	0.5027647	0.37644166	0.49925262	0.7106687	0.68330455	0.6101415	0.74758506	0.53247035	0.7110366	0.26830775	0.5983644	0.5512395	0.33215517	0.539525	0.6715803	0.34387589	0.36221945	0.730956	0.22762401	0.3675543	0.7156933	0.28810737	0.67547387
