	gene id
0	PA4142
1	PA1342
2	PA1471
3	PA1532
4	PA5159
5	PA0341
6	PA3387
7	PA2478
8	PA1466
9	PA4042
10	PA0193
11	PA1286
12	PA5032
13	PA4567
14	PA3083
15	PA3585
16	PA1365
17	PA0638
18	PA1489
19	PA3770
20	PA1325
21	PA2918
22	PA2678
23	PA4551
24	PA4903
25	PA4772
26	PA4755
27	PA5115
28	PA0982
29	PA1018
30	PA3067
31	PA2220
32	PA0077
33	PA5508
34	PA3406
35	PA3190
36	PA3023
37	PA2455
38	PA4842
39	PA2809
40	PA0084
41	PA1588
42	PA0114
43	PA5150
44	PA2118
45	PA2713
46	PA2648
47	PA3029
48	PA0055
49	PA2356
50	PA1064
51	PA4436
52	PA4813
53	PA3658
54	PA4197
55	PA5460
56	PA0868
57	PA3423
58	PA2145
59	PA1345
60	PA4264
61	PA0405
62	PA3564
63	PA0505
64	PA4103
65	PA3173
66	PA4309
67	PA1766
68	PA0996
69	PA0106
70	PA1524
71	PA0096
72	PA4656
73	PA1909
74	PA1558
75	PA1878
76	PA4370
77	PA0816
78	PA0029
79	PA2875
80	PA4624
81	PA1687
82	PA1429
83	PA0221
84	PA1232
85	PA4217
