	0	1
GSM625974.CEL	1.5122	5.4535
GSM1517348_MK-2.CEL	3.3158	4.176
GSM897997_MHH0106_Pae_G1a.CEL	3.1619	4.2669
GSM625975.CEL	1.5431	5.5094
GSM1244972_PAO1-37-replicate-03.CEL	2.1168	5.083
GSM637574.CEL	1.449	5.4734
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	2.3555	4.778
GSM567668.CEL	1.4897	5.4894
GSM767704.CEL	2.9522	4.4974
GSM807327.CEL	1.4448	5.6285
GSM774085_CF30-1979a.CEL	3.4857	4.1372
GSM822713_delta_cbrBLB_B.CEL	3.4786	4.0885
GSM822714_delta_crcZLB_A.CEL	3.4622	4.0996
GSM567689.CEL	1.6637	5.486
GSM774090_CF43-1973c.CEL	4.1939	3.5876
GSM1027585_071008WT.CEL	3.668	4.029
GSM617290.CEL	3.1786	4.5077
GSM1419138_PAO.CEL	3.0179	4.5827
GSM251205.CEL	4.1775	3.6682
GSM591623.CEL	2.8766	4.589
GSM393045.CEL	3.3797	4.3131
GSM335182.CEL	2.4254	5.024
GSM1181850_gc_Delta2_4.CEL	3.6858	4.1502
GSM92180.CEL	3.5031	4.231
GSM617295.CEL	2.9307	4.7268
GSM1958032_AMV_1.CEL	2.8656	4.8512
GSM243221.CEL	3.8751	3.9754
GSM2070493_OCio-13-MutS_A_d94_cipro_1-Pae_G1a-a1.CEL	3.6541	4.1895
GSM741207.CEL	2.6604	5.0768
GSM2070499_OCio-04-Pao1-B-Cip-D94-1-Pae_G1a-a1.CEL	3.5932	4.2597
GSM307125.CEL	2.614	5.0001
GSM429475.CEL	2.7393	5.0212
GSM617288.CEL	3.3642	4.5651
GSM774144_B12-4_3.CEL	4.2719	3.7909
GSM854799.CEL	1.3555	6.0749
GSM774115_CF243-2002a.CEL	3.6219	4.3275
GSM1553189_Persisters_C2.CEL	1.5551	5.9208
GSM208621.CEL	4.2835	3.8262
GSM432866.CEL	3.3181	4.604
GSM871976.CEL	2.0595	5.5208
GSM234928.CEL	3.0149	4.7861
GSM432862.CEL	4.4175	3.8185
GSM251201.CEL	4.3735	3.905
GSM637595.CEL	1.7413	5.8349
Overhage10002_Pae_G1a.CEL	4.1066	4.1753
GSM774100_CF105-1973a.CEL	4.2327	4.003
fos3_anaerobic_Pae_G1a.CEL	2.766	5.0981
GSM897998_MHH0107_Pae_G1a.CEL	3.5107	4.6148
GSM562112_Koh_PAK_H2O_1.CEL	2.112	5.7541
GSM1953893_BiofilmInoculum1.CEL	3.0512	5.0319
GSM1662228_WFPA205_3.CEL	3.5351	4.6679
GSM307120.CEL	3.9465	4.2437
GSM1953894_BiofilmInoculum2.CEL	3.0421	5.0468
GSM1608069_Biofilm+12hrcipro_rep3.CEL	2.2516	5.5844
GSM1181848_gc_WT2_3.CEL	3.6751	4.5614
GSM546260.CEL	4.4762	3.9568
GSM251203.CEL	3.4054	4.7152
GSM243223.CEL	3.9118	4.4043
GSM155243.CEL	4.6479	3.9025
GSM625981.CEL	1.6487	6.0893
