	gene id
0	PA4426
1	PA4936
2	PA3104
3	PA3722
4	PA3309
5	PA4245
6	PA5552
7	PA1804
8	PA4237
9	PA3735
10	PA1552
11	PA3074
12	PA4778
13	PA4700
14	PA4404
15	PA0934
16	PA1075
17	PA3494
18	PA0143
19	PA3455
20	PA2606
21	PA1431
22	PA3466
23	PA5558
24	PA1242
25	PA5253
26	PA2741
27	PA4377
28	PA2624
29	PA0856
30	PA4254
31	PA1049
32	PA3686
33	PA3115
34	PA0586
35	PA3170
36	PA4607
37	PA4664
38	PA3644
39	PA2971
40	PA0432
41	PA3227
42	PA2995
43	PA4067
44	PA4052
45	PA3726
46	PA5141
47	PA3228
48	PA1939
49	PA5081
50	PA0579
51	PA4932
52	PA5337
53	PA4262
54	PA4749
55	PA2907
56	PA3493
57	PA2029
58	PA3691
59	PA3006
60	PA1581
61	PA0801
62	PA3088
63	PA3073
64	PA1480
65	PA1770
66	PA3636
67	PA0588
68	PA4560
69	PA4650
70	PA3528
71	PA5034
72	PA3724
73	PA4243
74	PA3185
75	PA1103
76	PA2640
77	PA1772
78	PA3275
79	PA4746
80	PA4851
81	PA4425
82	PA0083
83	PA1795
84	PA2582
85	PA4003
86	PA4475
87	PA3777
88	PA4308
89	PA2614
90	PA0066
91	PA4937
92	PA5170
93	PA4667
94	PA1681
95	PA4934
96	PA4477
97	PA5554
98	PA0659
99	PA3836
100	PA0002
101	PA4259
102	PA3458
103	PA2963
104	PA0299
105	PA3576
106	PA5128
107	PA5331
108	PA3857
109	PA2853
110	PA3419
111	PA0913
112	PA4545
113	PA0019
114	PA1554
115	PA1789
116	PA2250
117	PA2642
118	PA4061
119	PA2631
120	PA5346
121	PA5492
122	PA1201
123	PA3651
124	PA3861
125	PA4741
126	PA1006
127	PA4789
128	PA5242
129	PA3579
130	PA1527
131	PA1792
132	PA5147
133	PA3215
134	PA3246
135	PA3525
136	PA3101
137	PA3745
138	PA2831
139	PA4872
140	PA3746
141	PA0167
142	PA0766
143	PA5038
144	PA5557
145	PA1160
146	PA3653
147	PA1684
148	PA4296
149	PA4453
150	PA2056
151	PA2337
152	PA1469
153	PA1382
154	PA4853
155	PA5142
156	PA5263
157	PA3440
158	PA4850
159	PA3833
160	PA0594
161	PA4492
162	PA5505
163	PA3997
164	PA5364
165	PA1192
166	PA1048
167	PA2638
168	PA2966
169	PA2870
170	PA3477
171	PA2897
172	PA4057
173	PA4465
174	PA3297
175	PA4372
176	PA1013
177	PA1530
178	PA3134
179	PA4279
180	PA4723
181	PA0571
182	PA4938
183	PA2615
184	PA0904
185	PA4751
186	PA4141
187	PA5171
188	PA5332
189	PA5153
190	PA4118
191	PA5274
