	gene id
0	PA1791
1	PA3604
2	PA3104
3	PA3722
4	PA3309
5	PA4245
6	PA4883
7	PA5552
8	PA4231
9	PA1804
10	PA2237
11	PA4237
12	PA3735
13	PA1552
14	PA4778
15	PA4700
16	PA4404
17	PA0934
18	PA1075
19	PA3494
20	PA3613
21	PA3455
22	PA2606
23	PA4060
24	PA0310
25	PA1431
26	PA3466
27	PA5558
28	PA2236
29	PA3744
30	PA5253
31	PA2741
32	PA5504
33	PA1339
34	PA3818
35	PA2624
36	PA0856
37	PA4254
38	PA1049
39	PA3686
40	PA3115
41	PA0053
42	PA4333
43	PA3170
44	PA0998
45	PA4607
46	PA4664
47	PA5319
48	PA4928
49	PA3644
50	PA2971
51	PA1294
52	PA0706
53	PA0432
54	PA3227
55	PA2995
56	PA0872
57	PA1750
58	PA1002
59	PA4052
60	PA4067
61	PA3726
62	PA5256
63	PA0579
64	PA4932
65	PA5337
66	PA4262
67	PA4749
68	PA3290
69	PA3493
70	PA2029
71	PA3691
72	PA3006
73	PA1581
74	PA0801
75	PA4294
76	PA4572
77	PA1041
78	PA1770
79	PA3636
80	PA3642
81	PA0103
82	PA0588
83	PA4560
84	PA5034
85	PA3528
86	PA3724
87	PA4243
88	PA3185
89	PA1103
90	PA2640
91	PA1772
92	PA3275
93	PA4746
94	PA4817
95	PA4425
96	PA4851
97	PA4131
98	PA0951
99	PA1795
100	PA2582
101	PA3905
102	PA4003
103	PA4004
104	PA3777
105	PA4458
106	PA1864
107	PA4610
108	PA2614
109	PA0760
110	PA4312
111	PA5170
112	PA4667
113	PA1681
114	PA1749
115	PA4477
116	PA4934
117	PA5554
118	PA0332
119	PA0833
120	PA1543
121	PA0002
122	PA4259
123	PA0386
124	PA2963
125	PA3458
126	PA5128
127	PA2384
128	PA5331
129	PA3857
130	PA2853
131	PA4545
132	PA0913
133	PA2645
134	PA3361
135	PA0019
136	PA1554
137	PA1789
138	PA2642
139	PA4061
140	PA2631
141	PA5492
142	PA1201
143	PA3651
144	PA4753
145	PA3861
146	PA4741
147	PA5479
148	PA1006
149	PA4789
150	PA1324
151	PA1475
152	PA3579
153	PA2651
154	PA4229
155	PA5147
156	PA3246
157	PA3525
158	PA4577
159	PA1050
160	PA3745
161	PA3746
162	PA0766
163	PA5038
164	PA5557
165	PA3633
166	PA1160
167	PA3653
168	PA0592
169	PA4280
170	PA3266
171	PA4296
172	PA4453
173	PA5200
174	PA1382
175	PA4853
176	PA3440
177	PA4850
178	PA0594
179	PA4492
180	PA5474
181	PA5505
182	PA1478
183	PA1147
184	PA5364
185	PA1192
186	PA1048
187	PA2638
188	PA2966
189	PA2870
190	PA3477
191	PA4057
192	PA3484
193	PA4465
194	PA4372
195	PA1013
196	PA2840
197	PA3134
198	PA2194
199	PA4279
200	PA2632
201	PA0571
202	PA4723
203	PA4938
204	PA0904
205	PA3160
206	PA4704
207	PA5321
208	PA4676
209	PA4751
210	PA4141
211	PA5050
212	PA5171
213	PA5332
214	PA2907
215	PA0999
216	PA4118
217	PA5274
