	gene id
0	PA4142
1	PA1342
2	PA1471
3	PA1532
4	PA5159
5	PA0341
6	PA3387
7	PA3950
8	PA2478
9	PA0748
10	PA1466
11	PA4042
12	PA1214
13	PA0193
14	PA0330
15	PA1286
16	PA5032
17	PA2812
18	PA4567
19	PA3083
20	PA3585
21	PA1365
22	PA0638
23	PA1489
24	PA3770
25	PA3414
26	PA1325
27	PA2918
28	PA2678
29	PA4551
30	PA4903
31	PA2662
32	PA4772
33	PA4755
34	PA2792
35	PA5115
36	PA0982
37	PA1018
38	PA1774
39	PA3067
40	PA2220
41	PA1907
42	PA0077
43	PA5508
44	PA3406
45	PA3190
46	PA3023
47	PA2455
48	PA4842
49	PA2809
50	PA0084
51	PA1588
52	PA0114
53	PA5150
54	PA2118
55	PA2713
56	PA2648
57	PA3029
58	PA0055
59	PA2356
60	PA1064
61	PA4436
62	PA4813
63	PA3658
64	PA4197
65	PA5460
66	PA0868
67	PA3423
68	PA2145
69	PA1345
70	PA4264
71	PA0405
72	PA3564
73	PA0505
74	PA4103
75	PA0499
76	PA3173
77	PA4309
78	PA3558
79	PA1766
80	PA0996
81	PA0106
82	PA1524
83	PA0096
84	PA4656
85	PA1909
86	PA1558
87	PA1878
88	PA4370
89	PA0816
90	PA0029
91	PA2875
92	PA4624
93	PA1687
94	PA1429
95	PA5367
96	PA0644
97	PA0221
98	PA1232
99	PA4217
