	0	1
GSM597330.CEL	5.8916	1.3656
L_12.CEL	5.8402	1.4685
GSM1112046_PGAS_25_1A.CEL	5.8662	1.3807
GSM261936.CEL	5.8709	1.3446
GSM994500_HM4-replicate-02.CEL	5.8319	1.2523
GSM208614.CEL	5.8192	1.4079
GSM821087_HZI0142_Pae_G1a.CEL	5.83	1.4028
GSM551147.CEL	5.9114	1.2844
GSM1618386_Wound2.CEL	5.781	1.4657
GSM2045178_MT1.CEL	5.8412	1.4306
MSC_01.CEL	5.7706	1.3066
GSM774094_CF66-1992a.CEL	5.7975	1.309
GSM1608068_Biofilm+12hrcipro_rep2.CEL	5.8764	1.3301
GSM375703.CEL	5.8055	1.2997
GSM774105_CF114-1973c.CEL	5.7639	1.2898
GSM1961575_F1-1.CEL	5.7857	1.3608
GSM573324.CEL	5.7952	1.4565
GSM807325.CEL	5.7711	1.3222
Overhage11002_Pae_G1a.CEL	5.7492	1.4835
GSM208612.CEL	5.7288	1.4086
GSM156174.CEL	5.7318	1.3806
GSM335182.CEL	5.7405	1.2123
GSM546265.CEL	5.6963	1.3058
GSM546253.CEL	5.6117	1.3949
GSM774156_B38-2NM_3.CEL	5.6587	1.2819
GSM900181_F3_Pae_G1a_.CEL	5.6786	1.4036
GSM1553188_Persisters_T1.CEL	5.6801	1.3563
GSM1310897_PA14_wild-type_+H2O2.CEL	5.617	1.3985
SJ01_Treated_1.CEL	5.5961	1.3956
ETJan12B_1380_2012PAO5dR-aero.CEL	5.5828	1.4283
GSM823346.CEL	5.6074	1.3535
GSM838215_PAO1-PM-1_Pae_G1a.CEL	5.6048	1.44
GSM243223.CEL	5.5621	1.4257
GSM429480.CEL	5.5654	1.389
JS-G164.9.07.CEL	5.5545	1.3249
GSM567544.CEL	5.5598	1.4519
GSM617298.CEL	5.5342	1.2193
GSM637597.CEL	5.5048	1.4483
GSM854792.CEL	5.4985	1.3048
GSM155244.CEL	5.4925	1.3192
GSM637577.CEL	5.5204	1.3272
GSM711447.CEL	5.5255	1.3824
GSM685447.CEL	5.4123	1.3528
GSM1889279_L-Hyp_02.CEL	5.3669	1.4144
GSM1662232_WFPA510_1.CEL	5.3586	1.434
GSM208603.CEL	5.4149	1.3674
GSM1553190_Persisters_T2.CEL	5.3724	1.342
GSM2070508_OCio-13-PAO1-1-d94-Pae_G1a-a1.CEL	5.3798	1.4313
GSM546278.CEL	5.3198	1.2209
GSM334312.CEL	5.3483	1.3072
GSM774131_CF333-2007b.CEL	5.3531	1.2831
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	5.2921	1.4298
GSM1961576_F1-2.CEL	5.3225	1.364
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	5.2911	1.4282
GSM156175.CEL	5.2493	1.5653
GSM741205.CEL	5.366	1.2555
GSM1191066_sphR-pyr-1.CEL	5.2277	1.4047
GSM1267105_HZI1971_Pae_G1a.CEL	5.2563	1.3763
GSM1267101_HZI1967_Pae_G1a.CEL	5.233	1.4024
GSM1267091_HZI1954_Pae_G1a.CEL	5.2509	1.3502
