	0	1
GSM199985.CEL	3.9391	1.9093
GSM2055818_7629_B-_20130705.CEL	3.4358	4.3311
GSM900179_F2_Pae_G1a_.CEL	4.5637	0.56194
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	4.1659	1.0321
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	3.2381	4.6567
GSM821495.CEL	3.9412	1.8397
GSM822689_wtBSM_A.CEL	3.7499	2.8498
GSM560759.CEL	4.4188	0.50341
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	3.7686	3.1926
GSM1267104_HZI1970_Pae_G1a.CEL	3.6649	3.1022
GSM838219_PAO1-5344-3_Pae_G1a.CEL	4.107	1.8305
GSM208615.CEL	3.7807	2.3242
GSM1553190_Persisters_T2.CEL	4.8281	0
GSM1419147_BC_FOX.CEL	4.198	0.77365
GSM1027584_062508WT.CEL	3.6332	2.1019
GSM774159_B38-6M_3.CEL	3.4196	3.5443
GSM625978.CEL	4.317	0.20385
GSM267252.CEL	4.15	1.4269
142_2014wt_anaero.CEL	3.6691	3.596
GSM567543.CEL	3.3807	3.8735
GSM307126.CEL	4.1932	1.9358
GSM1244970_PAO1-37-replicate-01.CEL	4.0676	1.0038
GSM864520.CEL	4.2975	1.0541
GSM980539_MHH1372.CEL	3.9611	1.2903
GSM898002_MHH0123_Pae_G1a.CEL	3.7609	1.5501
control3_anaerobic_Pae_G1a.CEL	3.7436	2.2854
Pae_Fe02_15.CEL	4.9911	0
GSM307122.CEL	4.2615	1.0921
GSM567669.CEL	4.3518	0.32987
GSM717420.CEL	3.9704	1.9197
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	3.5377	3.323
Tob2_aerobic_wdh_Pae_G1a.CEL	4.2169	0.94644
GSM625973.CEL	4.1865	0.041196
GSM637597.CEL	4.8301	0
GSM1306129_Nomura_PAO1_KG-2_Pae_G1a_.CEL	3.578	2.8699
GSM290749.CEL	4.0441	1.9946
GSM717424.CEL	4.7061	0
GSM551151.CEL	4.1854	0.82269
GSM252561.CEL	3.8959	1.4249
GSM307125.CEL	4.227	1.6175
GSM774118_CF333-1991a.CEL	3.2298	4.0426
GSM897998_MHH0107_Pae_G1a.CEL	3.6754	2.4048
GSM774104_CF114-1973b.CEL	3.2173	4.4787
GSM994500_HM4-replicate-02.CEL	3.9617	0.77178
GSM838218_PAO1-5344-1_Pae_G1a.CEL	4.0157	1.8173
SJ16_Treated_1.CEL	4.7803	0
GSM1267089_HZI1952_Pae_G1a.CEL	3.7448	2.5558
GSM1143376_A2_Pae_G1a_.CEL	3.5911	3.0027
GSM1958032_AMV_1.CEL	3.8083	1.6399
GSM1141730_PA01_ZnO_PZO_.CEL	4.0811	1.0559
GSM267256.CEL	4.2033	1.0001
GSM537321.CEL	4.3993	0.51462
GSM541648.CEL	3.6917	1.6011
GSM1958033_AMV_2.CEL	3.3015	3.1281
GSM541642.CEL	3.7444	1.7531
GSM1419155_BC3_CAZ.CEL	4.1588	0.49104
GSM2070481_OCio-01-MutS-1-start-Pae_G1a-a1.CEL	3.4851	3.1017
GSM821092_HZI0148_Pae_G1a.CEL	3.6976	2.85
GSM1420993_PAO1_NO2.CEL	3.3001	4.6947
GSM1244968_PAO1-22-replicate-02.CEL	4.1794	0.52611
