	0
0	PA4597
1	PA2970
2	PA3841
3	PA3318
4	PA2669
5	PA0063
6	PA3737
7	PA5199
8	PA2819
9	PA5084
10	PA0388
11	PA4189
12	PA3503
13	PA4183
14	PA0453
15	PA4680
16	PA5389
17	PA5272
18	PA0520
19	PA2905
20	PA1423
21	PA0792
22	PA3211
23	PA3521
24	PA0077
25	PA2298
26	PA4778
27	PA0902
28	PA4203
29	PA2436
30	PA4467
31	PA4900
32	PA1368
33	PA4319
34	PA5518
35	PA5392
36	PA0696
37	PA2521
38	PA1460
39	PA5000
40	PA0809
41	PA5363
42	PA1642
43	PA0351
44	PA1107
45	PA4296
46	PA4666
47	PA0190
48	PA1808
49	PA2933
50	PA0482
51	PA2243
52	PA1300
53	PA0009
54	PA0017
55	PA3796
56	PA3804
57	PA0853
58	PA4302
59	PA4608
60	PA1925
61	PA3414
62	PA2271
63	PA1170
64	PA4294
65	PA2497
66	PA0353
67	PA4724
68	PA4552
69	PA0988
70	PA3212
71	PA4182
72	PA0776
73	PA5274
74	PA0556
75	PA0844
76	PA2510
77	PA1752
78	PA2318
79	PA1723
80	PA4857
81	PA3567
82	PA1625
83	PA2489
84	PA2154
85	PA4692
86	PA4152
87	PA3504
88	PA4257
89	PA5177
90	PA2545
91	PA3283
92	PA2216
93	PA0005
94	PA4163
95	PA0309
96	PA4120
97	PA2526
98	PA0436
99	PA1039
100	PA1308
101	PA2875
102	PA5073
103	PA3147
104	PA5353
105	PA1704
106	PA2917
107	PA3092
108	PA0503
109	PA2333
110	PA0829
111	PA1257
112	PA1057
113	PA3201
114	PA3495
115	PA0926
116	PA1410
117	PA5344
118	PA3797
119	PA3146
120	PA4386
121	PA5041
122	PA1631
123	PA4009
124	PA2342
125	PA5040
126	PA5431
127	PA1351
128	PA4708
129	PA4511
130	PA2282
131	PA2720
132	PA4877
133	PA1542
134	PA2477
135	PA3617
136	PA0485
137	PA0566
138	PA4814
139	PA4117
140	PA0177
141	PA3809
142	PA3313
