	0	1
GSM208617.CEL	15.923	-2.9012
GSM629176.CEL	15.937	-2.9808
GSM774130_CF333-2007a.CEL	15.8	-3.1317
GSM821091_HZI0146_Pae_G1a.CEL	16.069	-0.51909
GSM637597.CEL	16.335	4.8217
GSM567543.CEL	15.755	-3.5178
GSM1143379_B2_Pae_G1a_.CEL	15.907	-1.7429
GSM1206652_WT-PRC-2.CEL	16.233	1.1415
GSM774101_CF105-1973b.CEL	15.711	-3.1699
GSM541644.CEL	15.817	-0.5377
GSM175248.CEL	15.967	2.5319
GSM717424.CEL	16.196	3.7792
GSM366976.CEL	15.624	-0.94481
GSM1958028_D-Lysine_1.CEL	15.865	-0.11588
GSM92184.CEL	15.745	-0.66868
GSM546252.CEL	15.469	-3.7192
GSM738264.CEL	15.874	0.46591
TUBS0096.CEL	15.842	2.158
control1aerobic_Pae_G1a.CEL	15.868	0.28361
GSM794228_A29.CEL	15.914	3.1469
GSM743002_PAO1-PC4-b.CEL	15.619	0.68159
JS-G84.18.07.CEL	15.741	4.5902
glu_plus_nt_2_8-25-09_s2.CEL	15.155	-3.1642
H_3.CEL	15.717	2.9442
GSM261932.CEL	15.326	-0.71766
GSM774088_CF43-1973a.CEL	15.187	-3.171
GSM1237736_M9_H103_4_51059600653061050411410396750502.CEL	15.344	-1.7049
GSM1143376_A2_Pae_G1a_.CEL	15.197	-2.0274
GSM865130_schurr_5511_1_Pae_G1a_.CEL	15.526	2.668
GSM1419150_PAO_CAZ.CEL	15.308	0.69995
GSM349047.CEL	15.055	-1.2536
control3aerobic_Pae_G1a.CEL	15.418	0.056576
GSM208609.CEL	15.125	-1.0438
GSM871964.CEL	15.103	0.92333
GSM1420996_anr_NO1.CEL	14.902	-3.7125
GSM462063.CEL	14.965	0.18978
GSM462061.CEL	15.182	2.2974
GSM774159_B38-6M_3.CEL	14.777	-2.3975
GSM92185.CEL	14.917	-0.89295
GSM617296.CEL	14.883	-0.35659
GSM774140_B12-0_2.CEL	14.703	-3.0979
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	14.681	-2.8586
H_1.CEL	15.175	3.0566
MSC_06.CEL	15.149	-2.8804
MSC_10.CEL	15.123	-2.7868
GSM1244971_PAO1-37-replicate-02.CEL	14.773	1.3024
control1_anaerobic_Pae_G1a.CEL	15.025	-0.42306
GSM1420993_PAO1_NO2.CEL	14.662	-3.6159
GSM1662234_WFPA510_3.CEL	14.85	-0.62227
GSM1958027_L-lysine_2.CEL	14.58	-1.9526
GSM546269.CEL	14.554	-3.8402
GSM551151.CEL	14.932	1.5875
GSM560759.CEL	14.891	2.3227
GSM897999_MHH0110_Pae_G1a.CEL	14.477	-2.0646
120330-10978D_23_(Pae_G1a).CEL	14.517	0.093054
GSM743001_PAO1-PC4-a.CEL	14.593	0.37515
GSM794229_A30.CEL	14.545	2.6695
AKGlu_plus_nt_7-8-09_s1.CEL	14.21	-3.1874
GSM2070487_OCio-10-PAO1_Ad94_cipro_1-Pae_G1a-a1.CEL	14.444	-2.015
GSM610406.CEL	14.415	-1.069
