	0	1	2	3	4	5	6	7	8	9
GSM1143378_B1_Pae_G1a_.CEL	0.28225624561309814	0.0	0.8852264881134033	3.4067294597625732	1.133164644241333	0.18115025758743286	5.951548099517822	0.5363141894340515	0.0	3.600435495376587
GSM1143380_B3_Pae_G1a_.CEL	0.2777986526489258	0.0	0.820515513420105	3.4236135482788086	1.1686558723449707	0.12039428949356079	5.747224807739258	0.4815365672111511	0.0	3.830017328262329
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	0.6143752336502075	0.0	6.71423864364624	2.6540021896362305	1.3601579666137695	0.30544936656951904	0.3077055513858795	0.0	0.0	4.140946865081787
GSM1237738_M9_PAOSX_3_51059600653060050411410396750359.CEL	0.9471170902252197	0.0	7.296473979949951	2.3739187717437744	0.8979946970939636	0.3232530951499939	0.26744648814201355	0.13907797634601593	0.0	3.6307485103607178
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	0.75010085105896	0.0	6.668854713439941	2.5070626735687256	0.5638335943222046	0.30043303966522217	0.871722936630249	0.0	0.0	2.602785587310791
GSM1246482_PA14bvlR_pME6032_rep2.CEL	3.5433483123779297	3.040391206741333	0.0	2.373624324798584	0.033521413803100586	0.0	2.8836400508880615	0.0	0.7359805107116699	0.0
GSM1246486_PA14bvlR_pMEbvlR_rep3.CEL	3.755167007446289	3.6218154430389404	0.0	3.0282745361328125	0.41880494356155396	0.0	3.6829833984375	0.0	0.6602916717529297	0.2852511405944824
GSM1267091_HZI1954_Pae_G1a.CEL	0.0	0.0	4.203949451446533	0.0	4.3679046630859375	0.0	3.47086238861084	0.0	0.0	1.9783809185028076
GSM1267093_HZI1956_Pae_G1a.CEL	0.0	0.0	3.5239105224609375	0.0	5.199873924255371	0.0	3.54382586479187	0.0	0.0	2.2608110904693604
GSM1267094_HZI1958_Pae_G1a.CEL	0.0	0.0	1.8093503713607788	0.0	2.982421875	0.0	2.2574753761291504	0.0	0.0	1.4052307605743408
GSM1267095_HZI1959_Pae_G1a.CEL	0.187333345413208	0.0	0.30151644349098206	0.0	1.5180388689041138	0.0	1.6642403602600098	0.38858461380004883	0.0	1.3211489915847778
GSM1267096_HZI1960a_Pae_G1a.CEL	0.042546749114990234	0.017864853143692017	3.7820849418640137	0.0	4.957369327545166	0.0	3.6723220348358154	0.0	0.0	2.5186476707458496
GSM1267097_HZI1961_Pae_G1a.CEL	0.1624770164489746	0.0	3.512004852294922	0.53931725025177	2.788726329803467	0.0	2.6240522861480713	0.0	0.0	1.1515706777572632
GSM1267098_HZI1962_Pae_G1a.CEL	0.15378272533416748	1.1384100914001465	4.29845666885376	0.7813283205032349	3.090668201446533	0.0	2.821434497833252	0.0	0.10112780332565308	1.4715526103973389
GSM208602.CEL	4.165202617645264	0.05301237106323242	1.1249277591705322	3.11185622215271	0.0	0.0	3.0339245796203613	0.0	0.0	4.057919025421143
GSM208604.CEL	3.278489112854004	0.0	0.3797781765460968	2.83205246925354	0.0	0.0	2.7007534503936768	0.0	0.0	3.553154468536377
GSM208606.CEL	2.8137693405151367	0.0	0.10099542140960693	2.5314011573791504	0.0	0.0	0.435024619102478	0.0	0.0	2.090141773223877
GSM208613.CEL	4.196063995361328	0.1959308385848999	1.3377132415771484	2.741147994995117	0.0	0.0	0.0	0.0671398937702179	0.0	4.342971324920654
GSM208614.CEL	3.8285999298095703	1.2393476963043213	1.3913085460662842	3.1252312660217285	0.0	0.0	0.31490033864974976	0.08753900229930878	0.0	4.959296703338623
GSM208615.CEL	0.0	0.0	1.1722588539123535	2.866135358810425	0.0	0.03471684455871582	0.0	0.0	0.0	1.761491298675537
GSM208616.CEL	0.0	0.0	2.6558399200439453	3.809450387954712	0.0029197335243225098	0.0	0.0	0.288118839263916	0.3679395318031311	4.203767776489258
GSM208618.CEL	0.11439800262451172	0.22666293382644653	4.480592250823975	3.131281614303589	0.0	0.0	0.0	0.2690846621990204	0.0	5.021646499633789
GSM208619.CEL	0.1910485029220581	0.0	3.1263537406921387	2.9376766681671143	0.0	0.0	0.0	0.4663223922252655	0.0	3.9264132976531982
GSM208620.CEL	0.0	0.0	2.2477431297302246	3.050152063369751	0.0633208155632019	0.0	0.0	0.1603529453277588	0.0	2.795767068862915
GSM208621.CEL	0.0	0.40032219886779785	4.4424943923950195	4.947741508483887	0.30047985911369324	0.18372708559036255	0.032398223876953125	0.01173216849565506	0.3822433352470398	4.480475425720215
GSM252559.CEL	3.878929615020752	1.1832249164581299	0.0	0.0	2.2450926303863525	0.527694582939148	4.555503845214844	4.22452449798584	0.0	1.2277209758758545
GSM252560.CEL	4.323336601257324	1.7741847038269043	0.31253567337989807	0.0	2.1978366374969482	0.349804162979126	5.174468517303467	3.786703586578369	0.0	1.2317954301834106
GSM252561.CEL	3.83895206451416	0.5915735363960266	0.0	0.0	2.8703689575195312	0.33591723442077637	4.54880428314209	4.055243015289307	0.0	0.6983476877212524
GSM252562.CEL	4.682110786437988	1.1728253364562988	0.9333682060241699	0.0	1.2350554466247559	0.08862811326980591	5.654891490936279	3.86301851272583	0.0	0.12365716695785522
GSM261916.CEL	1.0694817304611206	0.0	0.0	1.0946983098983765	0.0	0.5618453025817871	0.8138684034347534	0.9089791178703308	0.0	0.0
GSM261922.CEL	3.701134204864502	0.0	0.0	5.093975067138672	0.0	0.0	3.4227724075317383	0.0	0.0	0.0
GSM261927.CEL	4.24873685836792	0.0	0.0	3.4373207092285156	0.0	0.0	3.7455813884735107	0.0	0.0	0.0
