loss	val_loss	learning_rate	batch_size	epochs	kappa
3762.1803506879664	3620.1340024290967	0.001	100	200	0.01
3615.3041318067862	3746.463992335215	0.001	100	200	0.01
3555.0309794411733	3708.5926729090074	0.001	100	200	0.01
3528.4239675037898	3621.0243997012867	0.001	100	200	0.01
3511.678046838561	3675.5546567259717	0.001	100	200	0.01
3504.7436969814016	3623.726490693934	0.001	100	200	0.01
3498.309886419951	3642.666877297794	0.001	100	200	0.01
3494.3164180926424	3649.8376813616073	0.001	100	200	0.01
3488.484896987232	3586.8447552849266	0.001	100	200	0.01
3486.700045913013	3600.7072117909665	0.001	100	200	0.01
3482.328537670534	3558.571890181854	0.001	100	200	0.01
3480.0263034194263	3517.6694746257876	0.001	100	200	0.01
3477.7197274734726	3523.514010389312	0.001	100	200	0.01
3476.0380212584537	3519.309289243041	0.001	100	200	0.01
3472.3224031818445	3523.763872931985	0.001	100	200	0.01
3472.5748081491956	3519.047492532169	0.001	100	200	0.01
3467.5124502609024	3503.9149057083773	0.001	100	200	0.01
3467.3699686989858	3515.022893825499	0.001	100	200	0.01
3463.647402635261	3515.6519888228727	0.001	100	200	0.01
3460.8219130786497	3502.0471252954308	0.001	100	200	0.01
3460.681064890392	3508.5793354451157	0.001	100	200	0.01
3460.364960172283	3494.8790888425683	0.001	100	200	0.01
3459.1941473661964	3491.9384416852677	0.001	100	200	0.01
3456.6115121414414	3479.455658728335	0.001	100	200	0.01
3455.732967547516	3491.127798384979	0.001	100	200	0.01
3453.26121589319	3474.2858250722165	0.001	100	200	0.01
3451.3190699335355	3490.8420861508666	0.001	100	200	0.01
3451.0047798726096	3488.692454618566	0.001	100	200	0.01
3449.0013855891443	3488.623410008535	0.001	100	200	0.01
3447.2845349667678	3480.6068864069066	0.001	100	200	0.01
3445.94701966243	3484.6474752987133	0.001	100	200	0.01
3443.176346963911	3482.223655380121	0.001	100	200	0.01
3444.952355228253	3480.2816008239233	0.001	100	200	0.01
3441.5762638832207	3471.1433187532825	0.001	100	200	0.01
3443.4994707249884	3468.472877823004	0.001	100	200	0.01
3440.4499338633977	3464.5140924533875	0.001	100	200	0.01
3439.75145026819	3459.294977268251	0.001	100	200	0.01
3441.0021945327076	3460.6603121717435	0.001	100	200	0.01
3440.4500440910683	3456.244589925814	0.001	100	200	0.01
3437.3014089100398	3458.6974995076157	0.001	100	200	0.01
3436.0848288464904	3461.5268103335084	0.001	100	200	0.01
3436.4148204291046	3460.0370786009717	0.001	100	200	0.01
3434.0595712234726	3462.99635430344	0.001	100	200	0.01
3431.5032539937033	3457.6373403853727	0.001	100	200	0.01
3433.1599521921644	3459.7796312861083	0.001	100	200	0.01
3431.2401168595497	3455.270805294774	0.001	100	200	0.01
3431.9173483777404	3452.20039021468	0.001	100	200	0.01
3429.634697302064	3449.3151034827993	0.001	100	200	0.01
3429.7860681334537	3450.125301585478	0.001	100	200	0.01
3428.669715084247	3454.4809919084823	0.001	100	200	0.01
3426.2757896309467	3452.97265625	0.001	100	200	0.01
3426.3809194991836	3455.84769933364	0.001	100	200	0.01
3427.2721721592234	3451.347970145089	0.001	100	200	0.01
3425.3105286555506	3444.7143534171482	0.001	100	200	0.01
3422.807329320196	3449.962500820641	0.001	100	200	0.01
3424.610653094391	3448.6301926043857	0.001	100	200	0.01
3422.7818794819846	3447.755071559874	0.001	100	200	0.01
3421.8254212336756	3440.5952230501575	0.001	100	200	0.01
3422.5131243805386	3440.482926569065	0.001	100	200	0.01
3420.6431547705806	3444.844974806329	0.001	100	200	0.01
3418.882099208547	3440.471585313813	0.001	100	200	0.01
3419.603041008337	3441.8653431099	0.001	100	200	0.01
3416.4943000451844	3434.495925518645	0.001	100	200	0.01
3416.78819980906	3441.548001329438	0.001	100	200	0.01
3419.3233624358677	3442.259203486082	0.001	100	200	0.01
3414.360361583197	3435.6969106978727	0.001	100	200	0.01
3413.534562295942	3437.3184824711134	0.001	100	200	0.01
3413.6534970411612	3440.8226513261557	0.001	100	200	0.01
3412.603859972598	3438.1262104451157	0.001	100	200	0.01
3411.8883266164294	3434.0868894432774	0.001	100	200	0.01
3410.6151277912195	3438.1592884224	0.001	100	200	0.01
3410.828325413946	3429.2498235622375	0.001	100	200	0.01
3412.353756121735	3430.3051634716385	0.001	100	200	0.01
3408.8965763832207	3430.2725676207983	0.001	100	200	0.01
3409.158891820196	3431.028324415704	0.001	100	200	0.01
3409.707417502332	3428.726416836266	0.001	100	200	0.01
3407.205220236707	3424.533447265625	0.001	100	200	0.01
3406.576214690707	3424.5865160517333	0.001	100	200	0.01
3405.83727389663	3426.636343306854	0.001	100	200	0.01
3405.8199408232276	3423.3853770023634	0.001	100	200	0.01
3405.4773714435632	3428.7412745371585	0.001	100	200	0.01
3404.190492544601	3428.283334427521	0.001	100	200	0.01
3402.2393607523904	3421.741411994485	0.001	100	200	0.01
3403.6150366939714	3427.3468458672533	0.001	100	200	0.01
