	0	1	2	3	4	5	6	7	8	9
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	-5.1927	2.1915	0.65454	0.64514	-3.8765	2.0703	1.1475	-1.7675	-1.3716	4.6013
GSM573322.CEL	-2.2055	5.1977	1.3565	1.1995	-1.3658	-0.9388	4.3215	-2.5323	-0.9735	1.414
GSM821085_HZI0140_Pae_G1a.CEL	2.0508	8.0174	2.2244	3.2785	-3.451	1.4482	0.88469	0.71127	0.43908	-1.0745
GSM573325.CEL	-2.5125	4.5452	0.90677	0.85531	-1.7217	0.00077785	2.8099	-1.8638	-0.74028	2.0265
GSM573324.CEL	-2.994	4.4856	0.91533	0.83335	-1.4667	-0.11787	3.164	-2.5195	-0.79519	2.0842
GSM821086_HZI0141_Pae_G1a.CEL	0.87104	8.3747	2.9509	3.1057	-3.5557	0.74694	1.4075	0.54144	0.89739	-0.60595
Overhage5001_Pae_G1a.CEL	-3.5376	2.596	0.25556	0.95203	-1.9635	0.60138	-2.2264	0.26839	-2.8613	0.17578
GSM1177843_PAO1-2.CEL	-0.7834	8.2483	2.2524	2.2195	-2.3461	2.0432	1.2761	1.0805	-0.50398	-0.87803
GSM156173.CEL	-3.0701	-2.268	1.5115	-1.1753	-3.0347	0.27396	0.76994	-2.6388	3.9904	0.29227
GSM1177842_PAO1-1.CEL	-0.77235	8.6505	2.8423	2.2814	-2.5681	2.0995	2.0095	0.89924	-0.78579	-0.82316
GSM1177846_PAO1-AMV-2.CEL	-1.9153	7.003	2.4007	1.3936	-2.2028	1.7401	1.4777	0.85112	0.033246	-1.0025
GSM711448.CEL	-3.1135	4.7236	2.2402	-2.3161	-0.52183	-1.2765	1.9802	-1.8023	-0.64767	-3.3046
GSM741208.CEL	3.1222	9.2585	4.1511	3.3906	-3.275	-1.2054	5.2119	-1.5331	0.62756	-0.9021
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	-7.9512	-2.7331	1.0033	-0.30133	-3.3991	0.3739	1.1789	-1.2656	-0.58734	3.0226
Overhage11002_Pae_G1a.CEL	-4.3811	4.029	0.346	0.9656	-1.2735	-0.70119	-2.9226	0.74084	-1.762	0.34119
GSM187267.CEL	-1.9195	1.8475	1.7532	-0.51383	-4.9191	-0.92323	2.2765	-2.3803	5.6035	1.2942
GSM821089_HZI0144_Pae_G1a.CEL	0.60842	8.4272	2.4063	2.4877	-2.8988	1.991	1.3824	0.9412	-1.5732	-0.9401
GSM573327.CEL	-2.657	5.02	1.4866	0.66685	-2.0808	-1.0211	4.1183	-2.1263	-0.96704	1.263
ETJan12B_1378_2012-PAO3wt-aero.CEL	-0.1733	-4.6241	0.58046	-3.2167	-2.5792	6.1432	-0.37059	2.0054	-1.434	-0.081458
GSM954578_Nomura_PA01-3_Pae_G1a_.CEL	2.2036	8.3777	0.99374	0.5134	-2.8939	-0.19208	-0.38131	2.1031	-0.96086	1.3024
GSM573326.CEL	-3.6179	4.1284	1.0689	0.81834	-1.4831	-0.66939	3.0237	-2.4671	-0.5636	2.0118
GSM567543.CEL	-7.0514	1.5317	0.2526	-0.97255	0.93862	-0.65432	0.81782	-1.549	-0.59826	3.3352
GSM741206.CEL	3.2021	9.0299	4.5185	3.1149	-3.3839	-1.2445	5.496	-1.3902	0.50111	-1.1101
GSM1267103_HZI1969_Pae_G1a.CEL	-3.6394	3.8302	0.77036	1.5384	-3.314	2.8631	-1.9047	-0.41543	-0.2793	1.3856
GSM821088_HZI0143_Pae_G1a.CEL	0.66391	8.3293	2.0955	2.2947	-3.063	1.9032	0.65732	1.0767	-1.6825	-0.75278
GSM1177844_PAO1-3.CEL	-0.7813	7.7974	2.1728	2.0698	-2.3954	2.1334	1.7427	0.93066	-0.42601	-0.98791
GSM1027589_071008gbdR.CEL	-1.6091	6.1245	-0.080463	1.9135	-2.3832	1.4395	2.823	-1.0948	-4.1746	4.0307
GSM641847.CEL	-7.4832	-5.2665	0.64087	0.13347	-2.1033	1.1107	0.59822	-0.24422	-1.1266	-0.93458
GSM1027588_062508gbdR.CEL	-0.97881	5.2484	-0.31048	0.77899	-2.7878	-0.090715	2.9148	-0.2971	-3.9061	4.2791
GSM741204.CEL	2.7192	9.1831	3.7657	2.8501	-3.3873	-0.925	5.3647	-1.2631	0.60764	-0.49697
GSM954581_Nomura_PA2449-2_Pae_G1a_.CEL	0.092064	4.4075	0.60476	1.0056	-2.8751	-1.0019	1.3695	1.4887	-1.9052	1.7174
Overhage10003_Pae_G1a.CEL	0.66633	0.16579	3.1801	2.4954	-2.3195	0.12405	3.5151	-0.070647	-3.0798	-3.2271
MSC_05.CEL	-7.9439	-3.8515	1.6353	-0.0028075	-2.2171	-0.30799	-0.53105	0.34167	0.55966	-2.9237
GSM1244972_PAO1-37-replicate-03.CEL	4.254	2.4624	7.7226	-3.1994	0.059781	-1.871	-3.7651	-0.72474	-0.82077	-0.034647
GSM994498_PAO1-replicate-03.CEL	4.254	2.4624	7.7226	-3.1994	0.059781	-1.871	-3.7651	-0.72474	-0.82077	-0.034647
GSM573323.CEL	-2.2201	6.5291	0.60383	0.83399	-1.7122	-0.18037	3.0403	-1.7402	-1.6085	2.0465
ETJan12B_1376_2012PAO1wt-aero.CEL	-2.4038	-4.1731	0.42834	-3.1431	-2.3381	6.7808	0.17345	1.7663	-1.7011	-0.28009
GSM741203.CEL	2.456	8.8766	3.7238	2.9516	-3.3281	-0.74709	5.2809	-1.3138	0.74363	-0.53376
GSM155244.CEL	-8.6867	-4.6336	0.52122	-0.081893	-3.0599	0.7278	0.53575	-0.49605	-0.59862	-1.2804
Overhage5002_Pae_G1a.CEL	-4.1198	3.801	-0.11704	0.90889	-1.27	0.38411	-2.7394	0.50315	-1.8428	0.36039
GSM741207.CEL	2.4811	8.3928	4.4697	3.5004	-3.1689	-1.0248	5.4897	-1.41	0.67463	-1.1757
GSM711449.CEL	-2.1847	4.5078	2.0386	-2.2002	-0.33606	-1.7928	2.2656	-1.7581	-0.31413	-3.1534
GSM738266.CEL	1.5012	8.1537	2.3258	3.3135	-3.6422	0.62773	2.3689	-0.15346	0.60159	-1.5693
GSM641845.CEL	-7.7398	-4.3695	-0.45743	-0.22085	-2.2385	1.3085	-0.51494	-0.34038	-0.071707	-0.95979
GSM567691.CEL	3.8386	-4.7297	8.1049	-2.6825	0.54548	1.6214	-1.3927	-0.85757	-1.1485	-0.49794
GSM251203.CEL	-2.0484	-2.228	-1.1201	-2.6828	-4.1756	2.4944	0.1164	0.71186	-0.66394	-1.0561
GSM1146025_phaF_2.CEL	-5.4387	-5.4095	1.3705	0.17889	-1.5263	-0.43827	0.33195	0.12443	-0.064291	-1.18
GSM92179.CEL	-2.2902	6.033	1.3367	-1.281	-0.18553	0.026209	-2.5457	0.35262	-1.71	-2.2147
GSM767700.CEL	0.65237	7.3806	2.41	2.5758	-2.8758	-0.045914	4.4804	0.51744	-2.5895	-1.1891
GSM1177845_PAO1-AMV-1.CEL	-1.0088	6.777	2.1854	1.7545	-2.1272	1.789	1.8741	1.0611	-0.039445	-1.2406
MBU_JGOLD_PAO11.CEL	5.3974	6.2598	1.7835	0.21338	-2.422	-2.5745	5.0691	0.21672	0.86578	-0.078036
GSM546262.CEL	-5.8776	-2.9848	1.6732	4.1815	0.65172	-1.9634	0.2856	-0.25791	-1.6394	1.488
GSM156172.CEL	-1.9894	-3.7609	2.0006	-1.4374	-3.4402	1.0442	0.99403	-2.0652	4.1722	-0.91708
