	0	1
0	0.0	0.0
1	0.0	0.0
2	0.0	0.008317888
3	0.0	0.023347259
4	0.0	0.038431644
5	0.0	0.053515375
6	0.0	0.06859973
7	0.0	0.083684444
8	0.0	0.09876871
9	0.0	0.11355761
10	0.0	0.12756374
11	0.0	0.14156997
12	0.0	0.15557557
13	0.0	0.16958132
14	0.0	0.18358767
15	0.0	0.19759366
16	0.0	0.21159974
17	0.0	0.22560513
18	0.0	0.23961198
19	0.0	0.25361764
20	0.0	0.26762423
21	0.0	0.28162968
22	0.0	0.2956352
23	0.0	0.30964112
24	0.0	0.32364678
25	0.0	0.33765328
26	0.0	0.35171396
27	0.0074043274	0.36580896
28	0.015422881	0.37990427
29	0.023440659	0.39399952
30	0.03145832	0.4080945
31	0.039476216	0.42218933
32	0.04749483	0.43628395
33	0.055431604	0.45035854
34	0.06317288	0.464328
35	0.070705056	0.47740877
36	0.07790655	0.4899391
37	0.084707916	0.5024303
38	0.09145403	0.5150024
39	0.09819937	0.527574
40	0.1051355	0.53960603
41	0.112475574	0.5522766
42	0.119639456	0.56455255
43	0.12671095	0.5766725
44	0.13408303	0.58900887
45	0.14179736	0.60193396
46	0.15043497	0.61579067
47	0.15958118	0.63021374
48	0.16878754	0.64468014
49	0.17808622	0.65912765
50	0.18820119	0.67420995
51	0.19888133	0.6897735
52	0.2099151	0.705634
53	0.22118491	0.7216805
54	0.23245305	0.73772633
55	0.24360293	0.7536925
56	0.25475854	0.7699543
57	0.26593232	0.78626823
58	0.27690428	0.8024637
59	0.2878617	0.8186592
60	0.29869717	0.8347507
61	0.30952585	0.85079503
62	0.32060814	0.8672596
63	0.33169532	0.883813
64	0.34278756	0.90036404
65	0.35407716	0.9168358
66	0.3653112	0.9334463
67	0.37711358	0.9504283
68	0.38775373	0.96737885
69	0.39795077	0.98406285
70	0.40814698	1.0007471
71	0.41834384	1.0174315
72	0.4285409	1.0341156
73	0.43808055	1.0497102
74	0.44741663	1.0648097
75	0.45660946	1.0796708
76	0.46511877	1.094844
77	0.47352785	1.1102272
78	0.4819375	1.1256115
79	0.49034658	1.1409957
80	0.4987556	1.1563783
81	0.50719273	1.171768
82	0.5160191	1.187237
83	0.52484524	1.2027051
84	0.5336726	1.2181742
85	0.54195607	1.2329843
86	0.5494991	1.246897
87	0.55690193	1.260706
88	0.5631258	1.2736387
89	0.5695779	1.286619
90	0.57639873	1.299477
91	0.583323	1.3116415
92	0.59005034	1.3230784
93	0.5967784	1.3345166
94	0.60211635	1.3451109
95	0.607314	1.3556197
96	0.6116563	1.3660873
97	0.6152095	1.3765491
98	0.6186588	1.3870528
99	0.6221089	1.397558
