	0	1	2	3	4	5	6	7	8	9
120330-10978D_23_(Pae_G1a).CEL	3.179304599761963	0.0	4.084653377532959	0.45107758045196533	2.7517285346984863	0.0	0.0	4.4722113609313965	0.0	0.0
120330-10978D_M4_(Pae_G1a).CEL	2.980067253112793	0.0	4.591166973114014	0.7375634908676147	2.222850799560547	0.0	0.0	2.0716776847839355	0.0	0.0
DC2.CEL	0.13058578968048096	0.0	2.9490647315979004	0.0	0.15799427032470703	0.3392546772956848	0.0	0.0	1.6775524616241455	0.0
Glu_6Hour_(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0	7.2395548820495605	0.0	0.0	0.0	0.0
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	0.09013485908508301	5.150972843170166	8.047128677368164	0.0	2.628542423248291	0.1308683156967163	0.0	0.0	0.0	1.195385456085205
GSM1191067_sphR-pyr-2.CEL	6.1779022216796875	0.3048727512359619	2.9725818634033203	0.0	1.306624412536621	0.4098195433616638	0.0	0.0	0.0	4.26597261428833
GSM1267086_HZI1981_G1a.CEL	0.4406852722167969	1.6644046306610107	5.440282344818115	0.0	1.4639781713485718	0.0	3.102466106414795	0.0	0.0	0.0
GSM1267102_HZI1968_Pae_G1a.CEL	0.29933440685272217	2.9549458026885986	7.026805400848389	0.0	2.587042808532715	0.0	2.768275737762451	0.0	0.045885443687438965	0.0
GSM1267103_HZI1969_Pae_G1a.CEL	0.30655062198638916	3.3069489002227783	7.339169502258301	0.0	3.1042089462280273	0.0	2.7052040100097656	0.0	0.0	0.0
GSM1267104_HZI1970_Pae_G1a.CEL	0.21933972835540771	3.4138689041137695	7.546621799468994	0.0	2.7612366676330566	0.0	2.578354835510254	0.0	0.0	0.0
GSM1267109_HZI1975_G1a.CEL	0.5671252012252808	2.284625768661499	6.376804351806641	0.0	1.5242514610290527	0.0	2.4763011932373047	0.0	0.0	0.0
GSM1267110_HZI1976_G1a.CEL	0.5445108413696289	0.9376839995384216	4.209248065948486	0.0	0.2526618242263794	0.11604881286621094	1.9085301160812378	0.0	0.0	0.0
GSM1267111_HZI1977_G1a.CEL	0.39932548999786377	1.0946784019470215	4.598872184753418	0.0	0.5867939591407776	0.0	1.7344489097595215	0.0	0.0	0.0
GSM1267112_HZI1978_G1a.CEL	0.46072185039520264	2.6461095809936523	6.699408054351807	0.0	1.5825769901275635	0.0	2.5474486351013184	0.0	0.0	0.0
GSM1267113_HZI1979_G1a.CEL	0.41224920749664307	2.6552226543426514	6.846989631652832	0.0	1.7414236068725586	0.0	2.4890809059143066	0.0	0.0	0.0
GSM1420994_anr_control1.CEL	0.010254621505737305	2.582493782043457	0.2304171323776245	4.990275859832764	0.0	0.016342341899871826	0.0	0.6677018404006958	4.765223026275635	0.4639514982700348
GSM1420995_anr_control2.CEL	0.0	2.6486122608184814	0.24608337879180908	4.957833290100098	0.0	0.05013483762741089	0.0	0.5790983438491821	4.998453140258789	0.43037745356559753
GSM1420996_anr_NO1.CEL	0.04535484313964844	1.8394784927368164	1.534713864326477	4.898671627044678	0.0	0.014663934707641602	0.0	0.49643629789352417	4.645186424255371	0.16236650943756104
GSM1420997_anr_NO2.CEL	0.0	1.999645709991455	1.5003681182861328	4.532866954803467	0.0	0.06710505485534668	0.0	0.5153138637542725	4.933166980743408	0.14036178588867188
GSM1421003_EXdnr_control2.CEL	0.0	2.386141538619995	0.0	4.435546875	0.0	0.273914098739624	0.0	0.5090174078941345	5.052333831787109	0.43644005060195923
GSM198188.CEL	3.015558958053589	0.0	6.336058139801025	0.0	0.0	0.0	0.0	0.08741148561239243	1.070948839187622	0.0
GSM252496.CEL	1.241851568222046	1.2381556034088135	1.212740182876587	0.0	0.0	1.9636107683181763	0.10435956716537476	0.0	3.930875301361084	0.0
GSM432864.CEL	0.0	3.5216472148895264	0.5236666798591614	2.8513760566711426	0.0	0.718902587890625	0.0	0.2834523022174835	5.478195667266846	1.1750390529632568
GSM432865.CEL	0.0	3.424476385116577	0.4061357080936432	2.9768905639648438	0.0	0.6743671894073486	0.0	0.2590206563472748	5.442569255828857	0.9578692317008972
GSM432871.CEL	0.42778563499450684	0.0	4.7201619148254395	1.7201018333435059	1.626581072807312	0.23610371351242065	5.502920627593994	0.7507697343826294	0.03504422307014465	1.3040411472320557
GSM767700.CEL	0.0	0.0	3.325590133666992	0.0	5.9575114250183105	0.0	0.0	5.2164483070373535	0.0	0.25008493661880493
GSM774100_CF105-1973a.CEL	3.1963002681732178	3.9244048595428467	0.0	2.9200191497802734	0.0	0.0	0.0	0.3052392899990082	4.627427577972412	0.0
GSM774101_CF105-1973b.CEL	2.63041090965271	3.440103769302368	0.0	2.5158965587615967	0.0	0.0	0.0	0.27544769644737244	4.545870304107666	0.0
GSM774102_CF105-1973c.CEL	2.678295612335205	3.2728195190429688	0.0	2.5441129207611084	0.0	0.0	0.0	0.15505583584308624	4.480543613433838	0.0
GSM774103_CF114-1973a.CEL	2.307708978652954	4.285940647125244	0.0	1.4789155721664429	0.0	0.1445445418357849	0.0	0.17171309888362885	4.516005516052246	0.0
GSM774104_CF114-1973b.CEL	2.2616565227508545	4.269393444061279	0.0	1.266404628753662	0.0	0.2630385160446167	0.0	0.3471592664718628	5.254711151123047	0.0
GSM774105_CF114-1973c.CEL	2.3418421745300293	4.550638675689697	0.0	1.6070584058761597	0.0	0.08134377002716064	0.0	0.2353448122739792	4.705791473388672	0.0
GSM774132_CF333-2007c.CEL	5.958101272583008	0.0	0.0	3.6602303981781006	0.0	0.0	0.0	0.0	0.8068946599960327	0.0
